Date,Harris_avg,Trump_avg,Parameters
2024-07-02,,,0.35-0.5-1.5
2024-07-03,,,0.35-0.5-1.5
2024-07-04,,,0.35-0.5-1.5
2024-07-05,,,0.35-0.5-1.5
2024-07-06,,,0.35-0.5-1.5
2024-07-07,,,0.35-0.5-1.5
2024-07-08,,,0.35-0.5-1.5
2024-07-09,,,0.35-0.5-1.5
2024-07-10,,,0.35-0.5-1.5
2024-07-11,,,0.35-0.5-1.5
2024-07-12,,,0.35-0.5-1.5
2024-07-13,,,0.35-0.5-1.5
2024-07-14,,,0.35-0.5-1.5
2024-07-15,,,0.35-0.5-1.5
2024-07-16,,,0.35-0.5-1.5
2024-07-17,,,0.35-0.5-1.5
2024-07-18,,,0.35-0.5-1.5
2024-07-19,,,0.35-0.5-1.5
2024-07-20,,,0.35-0.5-1.5
2024-07-21,,,0.35-0.5-1.5
2024-07-22,,,0.35-0.5-1.5
2024-07-23,,,0.35-0.5-1.5
2024-07-24,,,0.35-0.5-1.5
2024-07-25,,,0.35-0.5-1.5
2024-07-26,,,0.35-0.5-1.5
2024-07-27,,,0.35-0.5-1.5
2024-07-28,,,0.35-0.5-1.5
2024-07-29,,,0.35-0.5-1.5
2024-07-30,,,0.35-0.5-1.5
2024-07-31,,,0.35-0.5-1.5
2024-08-01,,,0.35-0.5-1.5
2024-08-02,,,0.35-0.5-1.5
2024-08-03,,,0.35-0.5-1.5
2024-08-04,,,0.35-0.5-1.5
2024-08-05,,,0.35-0.5-1.5
2024-08-06,,,0.35-0.5-1.5
2024-08-07,,,0.35-0.5-1.5
2024-08-08,,,0.35-0.5-1.5
2024-08-09,,,0.35-0.5-1.5
2024-08-10,,,0.35-0.5-1.5
2024-08-11,,,0.35-0.5-1.5
2024-08-12,,,0.35-0.5-1.5
2024-08-13,,,0.35-0.5-1.5
2024-08-14,,,0.35-0.5-1.5
2024-08-15,,,0.35-0.5-1.5
2024-08-16,,,0.35-0.5-1.5
2024-08-17,,,0.35-0.5-1.5
2024-08-18,,,0.35-0.5-1.5
2024-08-19,,,0.35-0.5-1.5
2024-08-20,,,0.35-0.5-1.5
2024-08-21,,,0.35-0.5-1.5
2024-08-22,,,0.35-0.5-1.5
2024-08-23,,,0.35-0.5-1.5
2024-08-24,,,0.35-0.5-1.5
2024-08-25,,,0.35-0.5-1.5
2024-08-26,,,0.35-0.5-1.5
2024-08-27,,,0.35-0.5-1.5
2024-08-28,,,0.35-0.5-1.5
2024-08-29,,,0.35-0.5-1.5
2024-08-30,,,0.35-0.5-1.5
2024-08-31,42.10861288278454,52.62547735339882,0.35-0.5-1.5
2024-09-01,41.902399567549445,52.96919399131018,0.35-0.5-1.5
2024-09-02,41.7364207270344,53.074280025843365,0.35-0.5-1.5
2024-09-03,41.922287669331055,53.54975501742612,0.35-0.5-1.5
2024-09-04,41.5142087142716,54.26322107264031,0.35-0.5-1.5
2024-09-05,41.378230131532916,53.841293902124676,0.35-0.5-1.5
2024-09-06,41.50133935540747,53.98240631735334,0.35-0.5-1.5
2024-09-07,40.84947475645572,52.67026514525683,0.35-0.5-1.5
2024-09-08,41.00734312856587,53.01890103632064,0.35-0.5-1.5
2024-09-09,41.496699247420885,53.19654543792768,0.35-0.5-1.5
2024-09-10,41.58174308328488,53.195201515692666,0.35-0.5-1.5
2024-09-11,41.058762009814124,52.48095008911712,0.35-0.5-1.5
2024-09-12,41.69352703276975,52.80510212962329,0.35-0.5-1.5
2024-09-13,40.97487001574066,52.14028360623607,0.35-0.5-1.5
2024-09-14,41.67403629592988,52.65308138233724,0.35-0.5-1.5
2024-09-15,41.96134413409877,53.39538872564617,0.35-0.5-1.5
2024-09-16,41.82348794087076,52.806768192894594,0.35-0.5-1.5
2024-09-17,42.16531144655658,53.54485502042151,0.35-0.5-1.5
2024-09-18,41.83783606859605,53.62396499939149,0.35-0.5-1.5
2024-09-19,41.933835067710895,53.91001449402352,0.35-0.5-1.5
2024-09-20,41.717867793946084,53.560324832195576,0.35-0.5-1.5
2024-09-21,41.53480641145159,52.47175732835809,0.35-0.5-1.5
2024-09-22,42.177629533000385,52.344531356927234,0.35-0.5-1.5
2024-09-23,42.4990450726183,52.280909751073004,0.35-0.5-1.5
2024-09-24,42.26189180828662,52.33590813901674,0.35-0.5-1.5
2024-09-25,41.9399072718421,52.27659070177831,0.35-0.5-1.5
2024-09-26,41.9603710140908,52.24692989140274,0.35-0.5-1.5
2024-09-27,41.87427574422755,52.09897356220864,0.35-0.5-1.5
2024-09-28,42.26365366460587,53.306277624658016,0.35-0.5-1.5
2024-09-29,42.12223928922784,53.694503974186915,0.35-0.5-1.5
2024-09-30,42.07079871771049,53.88224476589508,0.35-0.5-1.5
2024-10-01,41.88270474191064,53.840865449555444,0.35-0.5-1.5
2024-10-02,41.78673443304722,53.448947031192986,0.35-0.5-1.5
2024-10-03,41.43923177990291,53.40716620685858,0.35-0.5-1.5
2024-10-04,42.129834270150525,52.81221426097154,0.35-0.5-1.5
2024-10-05,41.56481790111626,53.245932520403805,0.35-0.5-1.5
2024-10-06,41.78233881949919,53.8860658587477,0.35-0.5-1.5
2024-10-07,41.75148810603905,53.811647302575125,0.35-0.5-1.5
2024-10-08,42.901038377490266,53.84244672026031,0.35-0.5-1.5
2024-10-09,42.845863771118644,54.134889918668314,0.35-0.5-1.5
