Date,Harris_avg,Trump_avg,Parameters
2024-07-02,,,0.35-0.5-1.5
2024-07-03,,,0.35-0.5-1.5
2024-07-04,,,0.35-0.5-1.5
2024-07-05,,,0.35-0.5-1.5
2024-07-06,,,0.35-0.5-1.5
2024-07-07,,,0.35-0.5-1.5
2024-07-08,,,0.35-0.5-1.5
2024-07-09,,,0.35-0.5-1.5
2024-07-10,43.80029182495172,51.30366241602866,0.35-0.5-1.5
2024-07-11,43.33511508182244,50.58321588688702,0.35-0.5-1.5
2024-07-12,42.500798043039126,49.62621534537149,0.35-0.5-1.5
2024-07-13,41.41649643931043,48.568565783585214,0.35-0.5-1.5
2024-07-14,43.224767582800226,51.129150524277826,0.35-0.5-1.5
2024-07-15,42.130695225608996,48.62826601145303,0.35-0.5-1.5
2024-07-16,42.30200564409243,49.091146449076355,0.35-0.5-1.5
2024-07-17,43.18195756061927,51.201805974387895,0.35-0.5-1.5
2024-07-18,43.59664838126932,52.256364887746216,0.35-0.5-1.5
2024-07-19,43.71823309248747,52.64507484223658,0.35-0.5-1.5
2024-07-20,43.67379945705889,52.65121061779755,0.35-0.5-1.5
2024-07-21,42.96575276831025,51.67859534604759,0.35-0.5-1.5
2024-07-22,43.59226006383248,49.853588571740445,0.35-0.5-1.5
2024-07-23,44.17049716108776,49.76825176685413,0.35-0.5-1.5
2024-07-24,44.42381289965951,49.17710226452574,0.35-0.5-1.5
2024-07-25,44.65646222618236,48.52625540686427,0.35-0.5-1.5
2024-07-26,45.307236271430234,48.60310580645964,0.35-0.5-1.5
2024-07-27,45.33819242835841,49.08240302001646,0.35-0.5-1.5
2024-07-28,45.76246068105943,48.6673822405498,0.35-0.5-1.5
2024-07-29,45.88913436964324,48.13320762691521,0.35-0.5-1.5
2024-07-30,45.46637268845542,47.443766582130216,0.35-0.5-1.5
2024-07-31,45.45580131572265,47.84787248692296,0.35-0.5-1.5
2024-08-01,45.18054840010477,47.65106495017582,0.35-0.5-1.5
2024-08-02,45.37323464351616,46.90286267662694,0.35-0.5-1.5
2024-08-03,45.62179294477609,46.998312228549,0.35-0.5-1.5
2024-08-04,45.7451031013675,47.16049593825986,0.35-0.5-1.5
2024-08-05,45.980180750084024,47.26977440898104,0.35-0.5-1.5
2024-08-06,46.341216033823954,47.132937977587446,0.35-0.5-1.5
2024-08-07,46.31389511681085,47.26773481817314,0.35-0.5-1.5
2024-08-08,46.50337482336543,47.27112209616412,0.35-0.5-1.5
2024-08-09,46.35940534077165,47.048318039053804,0.35-0.5-1.5
2024-08-10,46.421466945954435,47.14476973034718,0.35-0.5-1.5
2024-08-11,47.00644997752582,46.96475791550172,0.35-0.5-1.5
2024-08-12,46.52547649151488,47.105071124531285,0.35-0.5-1.5
2024-08-13,46.440662393642846,47.63516843575897,0.35-0.5-1.5
2024-08-14,45.94157028890021,47.195140301449115,0.35-0.5-1.5
2024-08-15,46.38172322644263,47.47746283318118,0.35-0.5-1.5
2024-08-16,46.35922588153995,47.269284526373234,0.35-0.5-1.5
2024-08-17,46.42278847966246,47.390215836708805,0.35-0.5-1.5
2024-08-18,46.2769629796791,47.17224641093313,0.35-0.5-1.5
2024-08-19,46.46411788624127,47.659372968343476,0.35-0.5-1.5
2024-08-20,46.67945081340974,48.289794788888514,0.35-0.5-1.5
2024-08-21,46.10263132922496,47.07891947121202,0.35-0.5-1.5
2024-08-22,46.45564572682741,46.98092788375931,0.35-0.5-1.5
2024-08-23,46.495150087348804,46.72764613274008,0.35-0.5-1.5
2024-08-24,46.89267781573753,47.08062872119851,0.35-0.5-1.5
2024-08-25,47.29899013008078,47.26225859268415,0.35-0.5-1.5
2024-08-26,47.161354090762465,48.42647931155477,0.35-0.5-1.5
2024-08-27,46.77803353221716,48.45945131234087,0.35-0.5-1.5
2024-08-28,46.193927060912884,48.03963874506991,0.35-0.5-1.5
2024-08-29,45.30647418829979,47.99037878148894,0.35-0.5-1.5
2024-08-30,45.33895454182132,47.354612808005584,0.35-0.5-1.5
2024-08-31,46.15933381268858,47.44079717810261,0.35-0.5-1.5
2024-09-01,46.45828904077481,48.000883415564466,0.35-0.5-1.5
2024-09-02,46.706002454770356,48.19449283790743,0.35-0.5-1.5
2024-09-03,47.01063997693056,48.65204186513488,0.35-0.5-1.5
2024-09-04,46.67267229560376,48.32212930162929,0.35-0.5-1.5
2024-09-05,46.56355405484506,48.072129276645896,0.35-0.5-1.5
2024-09-06,46.70926656855279,48.3121450430269,0.35-0.5-1.5
2024-09-07,46.128209691437,47.43955535824637,0.35-0.5-1.5
2024-09-08,46.25305711376865,47.37682518278886,0.35-0.5-1.5
2024-09-09,47.60851494504887,47.97806366217208,0.35-0.5-1.5
2024-09-10,47.41364532393489,48.0901446898055,0.35-0.5-1.5
2024-09-11,46.63280118816297,47.51172872993781,0.35-0.5-1.5
2024-09-12,47.089254052265574,47.66099465674766,0.35-0.5-1.5
2024-09-13,46.910737445683466,47.258814362533,0.35-0.5-1.5
2024-09-14,47.41561877933597,47.67766180453018,0.35-0.5-1.5
2024-09-15,47.6394836139409,48.325242556752016,0.35-0.5-1.5
2024-09-16,47.76451152049261,48.26583088729726,0.35-0.5-1.5
2024-09-17,47.77922293944304,48.68147442139356,0.35-0.5-1.5
2024-09-18,47.30354199025368,48.67684530273024,0.35-0.5-1.5
