Date,Harris_avg,Trump_avg,Parameters
2024-07-02,,,0.35-0.5-1.5
2024-07-03,,,0.35-0.5-1.5
2024-07-04,,,0.35-0.5-1.5
2024-07-05,,,0.35-0.5-1.5
2024-07-06,,,0.35-0.5-1.5
2024-07-07,,,0.35-0.5-1.5
2024-07-08,,,0.35-0.5-1.5
2024-07-09,,,0.35-0.5-1.5
2024-07-10,,,0.35-0.5-1.5
2024-07-11,,,0.35-0.5-1.5
2024-07-12,,,0.35-0.5-1.5
2024-07-13,,,0.35-0.5-1.5
2024-07-14,,,0.35-0.5-1.5
2024-07-15,,,0.35-0.5-1.5
2024-07-16,,,0.35-0.5-1.5
2024-07-17,,,0.35-0.5-1.5
2024-07-18,,,0.35-0.5-1.5
2024-07-19,,,0.35-0.5-1.5
2024-07-20,,,0.35-0.5-1.5
2024-07-21,,,0.35-0.5-1.5
2024-07-22,,,0.35-0.5-1.5
2024-07-23,,,0.35-0.5-1.5
2024-07-24,,,0.35-0.5-1.5
2024-07-25,,,0.35-0.5-1.5
2024-07-26,,,0.35-0.5-1.5
2024-07-27,,,0.35-0.5-1.5
2024-07-28,,,0.35-0.5-1.5
2024-07-29,,,0.35-0.5-1.5
2024-07-30,,,0.35-0.5-1.5
2024-07-31,,,0.35-0.5-1.5
2024-08-01,,,0.35-0.5-1.5
2024-08-02,,,0.35-0.5-1.5
2024-08-03,,,0.35-0.5-1.5
2024-08-04,,,0.35-0.5-1.5
2024-08-05,,,0.35-0.5-1.5
2024-08-06,,,0.35-0.5-1.5
2024-08-07,,,0.35-0.5-1.5
2024-08-08,,,0.35-0.5-1.5
2024-08-09,,,0.35-0.5-1.5
2024-08-10,,,0.35-0.5-1.5
2024-08-11,,,0.35-0.5-1.5
2024-08-12,,,0.35-0.5-1.5
2024-08-13,,,0.35-0.5-1.5
2024-08-14,,,0.35-0.5-1.5
2024-08-15,,,0.35-0.5-1.5
2024-08-16,,,0.35-0.5-1.5
2024-08-17,,,0.35-0.5-1.5
2024-08-18,,,0.35-0.5-1.5
2024-08-19,,,0.35-0.5-1.5
2024-08-20,,,0.35-0.5-1.5
2024-08-21,,,0.35-0.5-1.5
2024-08-22,,,0.35-0.5-1.5
2024-08-23,,,0.35-0.5-1.5
2024-08-24,,,0.35-0.5-1.5
2024-08-25,,,0.35-0.5-1.5
2024-08-26,,,0.35-0.5-1.5
2024-08-27,,,0.35-0.5-1.5
2024-08-28,,,0.35-0.5-1.5
2024-08-29,,,0.35-0.5-1.5
2024-08-30,,,0.35-0.5-1.5
2024-08-31,,,0.35-0.5-1.5
2024-09-01,,,0.35-0.5-1.5
2024-09-02,,,0.35-0.5-1.5
2024-09-03,54.28176070418582,41.03317444280117,0.35-0.5-1.5
2024-09-04,53.75455855480823,41.85617586675863,0.35-0.5-1.5
2024-09-05,53.411278845213026,42.05816344414469,0.35-0.5-1.5
2024-09-06,53.40403304181666,42.43320139017293,0.35-0.5-1.5
2024-09-07,52.582489035752275,41.67414582780435,0.35-0.5-1.5
2024-09-08,52.71135166637477,42.00495940153656,0.35-0.5-1.5
2024-09-09,53.28754595392176,42.187092025182274,0.35-0.5-1.5
2024-09-10,53.390342050469094,42.21444554811384,0.35-0.5-1.5
2024-09-11,52.731509627487526,41.67253639691024,0.35-0.5-1.5
2024-09-12,53.449719910847676,41.89482092735297,0.35-0.5-1.5
2024-09-13,52.71601612689212,41.69647539808821,0.35-0.5-1.5
2024-09-14,53.332125846549644,41.93117994214872,0.35-0.5-1.5
2024-09-15,53.730662931749976,42.37986650456665,0.35-0.5-1.5
2024-09-16,53.661672180919155,41.974775933673854,0.35-0.5-1.5
2024-09-17,54.109842983531024,42.50047243494898,0.35-0.5-1.5
2024-09-18,53.74263893528885,42.56604446797985,0.35-0.5-1.5
2024-09-19,53.8709359715491,42.791461472456,0.35-0.5-1.5
2024-09-20,53.60301139802621,42.526135471882775,0.35-0.5-1.5
2024-09-21,53.369145198714726,41.67591562014099,0.35-0.5-1.5
2024-09-22,54.18377896062455,41.573685112102716,0.35-0.5-1.5
2024-09-23,54.593322129896215,41.521968000784746,0.35-0.5-1.5
2024-09-24,54.28937459254343,41.564542259769595,0.35-0.5-1.5
2024-09-25,53.87567699794854,41.517066859021405,0.35-0.5-1.5
2024-09-26,53.90057999004752,41.49324607516497,0.35-0.5-1.5
2024-09-27,53.789069866570856,41.375685872829166,0.35-0.5-1.5
2024-09-28,54.2880561718343,42.33372470144115,0.35-0.5-1.5
2024-09-29,54.105993323332044,42.64205673766031,0.35-0.5-1.5
2024-09-30,54.039537921245305,42.791263323734796,0.35-0.5-1.5
2024-10-01,53.797682876705885,42.75852479503819,0.35-0.5-1.5
2024-10-02,54.872953650609006,42.169747180181126,0.35-0.5-1.5
2024-10-03,54.110056755091954,42.23396735907999,0.35-0.5-1.5
2024-10-04,54.59930268292519,41.87432328460833,0.35-0.5-1.5
2024-10-05,53.755834220820496,42.21808336530295,0.35-0.5-1.5
2024-10-06,53.894139369418895,42.72738694543365,0.35-0.5-1.5
2024-10-07,53.77642660265248,42.69362559780292,0.35-0.5-1.5
2024-10-08,53.869014708011214,42.69732618893568,0.35-0.5-1.5
2024-10-09,54.30106617706825,42.988561631263295,0.35-0.5-1.5
2024-10-10,54.42762726198521,43.47379937015371,0.35-0.5-1.5
