Date,Harris_avg,Trump_avg,Parameters
2024-07-02,,,0.35-0.5-1.5
2024-07-03,,,0.35-0.5-1.5
2024-07-04,,,0.35-0.5-1.5
2024-07-05,,,0.35-0.5-1.5
2024-07-06,,,0.35-0.5-1.5
2024-07-07,,,0.35-0.5-1.5
2024-07-08,,,0.35-0.5-1.5
2024-07-09,,,0.35-0.5-1.5
2024-07-10,,,0.35-0.5-1.5
2024-07-11,,,0.35-0.5-1.5
2024-07-12,,,0.35-0.5-1.5
2024-07-13,,,0.35-0.5-1.5
2024-07-14,,,0.35-0.5-1.5
2024-07-15,,,0.35-0.5-1.5
2024-07-16,,,0.35-0.5-1.5
2024-07-17,,,0.35-0.5-1.5
2024-07-18,,,0.35-0.5-1.5
2024-07-19,,,0.35-0.5-1.5
2024-07-20,,,0.35-0.5-1.5
2024-07-21,,,0.35-0.5-1.5
2024-07-22,,,0.35-0.5-1.5
2024-07-23,,,0.35-0.5-1.5
2024-07-24,,,0.35-0.5-1.5
2024-07-25,,,0.35-0.5-1.5
2024-07-26,,,0.35-0.5-1.5
2024-07-27,,,0.35-0.5-1.5
2024-07-28,,,0.35-0.5-1.5
2024-07-29,,,0.35-0.5-1.5
2024-07-30,,,0.35-0.5-1.5
2024-07-31,,,0.35-0.5-1.5
2024-08-01,,,0.35-0.5-1.5
2024-08-02,,,0.35-0.5-1.5
2024-08-03,,,0.35-0.5-1.5
2024-08-04,,,0.35-0.5-1.5
2024-08-05,,,0.35-0.5-1.5
2024-08-06,,,0.35-0.5-1.5
2024-08-07,,,0.35-0.5-1.5
2024-08-08,,,0.35-0.5-1.5
2024-08-09,,,0.35-0.5-1.5
2024-08-10,,,0.35-0.5-1.5
2024-08-11,,,0.35-0.5-1.5
2024-08-12,,,0.35-0.5-1.5
2024-08-13,,,0.35-0.5-1.5
2024-08-14,,,0.35-0.5-1.5
2024-08-15,,,0.35-0.5-1.5
2024-08-16,,,0.35-0.5-1.5
2024-08-17,56.835493862011674,40.895335797072406,0.35-0.5-1.5
2024-08-18,56.19689452349694,40.20767728559085,0.35-0.5-1.5
2024-08-19,55.99345565795727,40.078806837974575,0.35-0.5-1.5
2024-08-20,55.993769687753606,40.25563540136164,0.35-0.5-1.5
2024-08-21,55.231920890743815,39.16806180046454,0.35-0.5-1.5
2024-08-22,55.54741036745628,38.963764328756106,0.35-0.5-1.5
2024-08-23,55.5506894302751,38.67985302710855,0.35-0.5-1.5
2024-08-24,54.860890264633355,38.38158434276043,0.35-0.5-1.5
2024-08-25,55.21961548926384,38.34189088076266,0.35-0.5-1.5
2024-08-26,55.14402682210067,38.81580784605191,0.35-0.5-1.5
2024-08-27,55.799255278391826,39.4892032908989,0.35-0.5-1.5
2024-08-28,55.47757753255639,39.49908672209854,0.35-0.5-1.5
2024-08-29,55.45264294509117,40.02063709251787,0.35-0.5-1.5
2024-08-30,53.42136638929247,38.647149001864044,0.35-0.5-1.5
2024-08-31,54.64809762848523,38.806258814225835,0.35-0.5-1.5
2024-09-01,55.2263204846675,39.50003104137678,0.35-0.5-1.5
2024-09-02,55.51012834852324,39.61814749511087,0.35-0.5-1.5
2024-09-03,56.17482414119569,40.05106190426642,0.35-0.5-1.5
2024-09-04,55.709969500039875,40.62251971052092,0.35-0.5-1.5
2024-09-05,55.641666943029975,40.226056289047,0.35-0.5-1.5
2024-09-06,55.90552047636053,40.317374039729984,0.35-0.5-1.5
2024-09-07,55.04528055105485,39.28837786091816,0.35-0.5-1.5
2024-09-08,55.3092124884511,39.55887599036424,0.35-0.5-1.5
2024-09-09,56.00822292903548,39.694122965566876,0.35-0.5-1.5
2024-09-10,56.13916817004528,39.69295143385791,0.35-0.5-1.5
2024-09-11,55.437856312190036,39.15660260537085,0.35-0.5-1.5
2024-09-12,56.30676354466943,39.400669042238945,0.35-0.5-1.5
2024-09-13,55.337515995468095,38.903740395528594,0.35-0.5-1.5
2024-09-14,56.287207360839766,39.2878155138242,0.35-0.5-1.5
2024-09-15,56.67758818458566,39.84261503224685,0.35-0.5-1.5
2024-09-16,56.49233116521237,39.4030555194079,0.35-0.5-1.5
2024-09-17,56.95506367457093,39.95416244371014,0.35-0.5-1.5
2024-09-18,56.51302763969324,40.0131889679946,0.35-0.5-1.5
2024-09-19,57.1854786966065,40.48264020587463,0.35-0.5-1.5
2024-09-20,56.75468134795639,40.17453943717522,0.35-0.5-1.5
2024-09-21,56.3916981563418,39.37639760710566,0.35-0.5-1.5
2024-09-22,57.097679259938985,39.210012461320844,0.35-0.5-1.5
2024-09-23,57.46782175796684,39.11181380187084,0.35-0.5-1.5
2024-09-24,57.13513252065139,39.11657907246869,0.35-0.5-1.5
2024-09-25,56.6912328834967,39.050751507958516,0.35-0.5-1.5
2024-09-26,56.70457961042063,39.01398829840787,0.35-0.5-1.5
2024-09-27,56.58034058877017,38.89464487519409,0.35-0.5-1.5
2024-09-28,57.09753384042452,39.784108468643076,0.35-0.5-1.5
2024-09-29,56.904215557257665,40.070061534028106,0.35-0.5-1.5
2024-09-30,56.832763464794645,40.20837698106414,0.35-0.5-1.5
2024-10-01,56.57763139225378,40.17668821934243,0.35-0.5-1.5
2024-10-02,56.44707454124674,39.88393794533339,0.35-0.5-1.5
2024-10-03,55.977240387027514,39.852304658213406,0.35-0.5-1.5
2024-10-04,56.90917402172426,39.40821780730563,0.35-0.5-1.5
