Date,Harris_avg,Trump_avg,Parameters
2024-07-02,,,0.35-0.5-1.5
2024-07-03,,,0.35-0.5-1.5
2024-07-04,,,0.35-0.5-1.5
2024-07-05,,,0.35-0.5-1.5
2024-07-06,,,0.35-0.5-1.5
2024-07-07,,,0.35-0.5-1.5
2024-07-08,,,0.35-0.5-1.5
2024-07-09,,,0.35-0.5-1.5
2024-07-10,,,0.35-0.5-1.5
2024-07-11,,,0.35-0.5-1.5
2024-07-12,,,0.35-0.5-1.5
2024-07-13,,,0.35-0.5-1.5
2024-07-14,,,0.35-0.5-1.5
2024-07-15,,,0.35-0.5-1.5
2024-07-16,,,0.35-0.5-1.5
2024-07-17,,,0.35-0.5-1.5
2024-07-18,,,0.35-0.5-1.5
2024-07-19,,,0.35-0.5-1.5
2024-07-20,,,0.35-0.5-1.5
2024-07-21,,,0.35-0.5-1.5
2024-07-22,,,0.35-0.5-1.5
2024-07-23,,,0.35-0.5-1.5
2024-07-24,,,0.35-0.5-1.5
2024-07-25,,,0.35-0.5-1.5
2024-07-26,,,0.35-0.5-1.5
2024-07-27,,,0.35-0.5-1.5
2024-07-28,,,0.35-0.5-1.5
2024-07-29,,,0.35-0.5-1.5
2024-07-30,,,0.35-0.5-1.5
2024-07-31,,,0.35-0.5-1.5
2024-08-01,,,0.35-0.5-1.5
2024-08-02,,,0.35-0.5-1.5
2024-08-03,,,0.35-0.5-1.5
2024-08-04,,,0.35-0.5-1.5
2024-08-05,,,0.35-0.5-1.5
2024-08-06,,,0.35-0.5-1.5
2024-08-07,,,0.35-0.5-1.5
2024-08-08,,,0.35-0.5-1.5
2024-08-09,,,0.35-0.5-1.5
2024-08-10,,,0.35-0.5-1.5
2024-08-11,,,0.35-0.5-1.5
2024-08-12,,,0.35-0.5-1.5
2024-08-13,,,0.35-0.5-1.5
2024-08-14,,,0.35-0.5-1.5
2024-08-15,,,0.35-0.5-1.5
2024-08-16,,,0.35-0.5-1.5
2024-08-17,,,0.35-0.5-1.5
2024-08-18,,,0.35-0.5-1.5
2024-08-19,,,0.35-0.5-1.5
2024-08-20,,,0.35-0.5-1.5
2024-08-21,,,0.35-0.5-1.5
2024-08-22,,,0.35-0.5-1.5
2024-08-23,,,0.35-0.5-1.5
2024-08-24,,,0.35-0.5-1.5
2024-08-25,,,0.35-0.5-1.5
2024-08-26,,,0.35-0.5-1.5
2024-08-27,,,0.35-0.5-1.5
2024-08-28,,,0.35-0.5-1.5
2024-08-29,,,0.35-0.5-1.5
2024-08-30,,,0.35-0.5-1.5
2024-08-31,,,0.35-0.5-1.5
2024-09-01,,,0.35-0.5-1.5
2024-09-02,,,0.35-0.5-1.5
2024-09-03,,,0.35-0.5-1.5
2024-09-04,,,0.35-0.5-1.5
2024-09-05,,,0.35-0.5-1.5
2024-09-06,,,0.35-0.5-1.5
2024-09-07,,,0.35-0.5-1.5
2024-09-08,,,0.35-0.5-1.5
2024-09-09,,,0.35-0.5-1.5
2024-09-10,,,0.35-0.5-1.5
2024-09-11,,,0.35-0.5-1.5
2024-09-12,,,0.35-0.5-1.5
2024-09-13,,,0.35-0.5-1.5
2024-09-14,,,0.35-0.5-1.5
2024-09-15,,,0.35-0.5-1.5
2024-09-16,,,0.35-0.5-1.5
2024-09-17,,,0.35-0.5-1.5
2024-09-18,,,0.35-0.5-1.5
2024-09-19,,,0.35-0.5-1.5
2024-09-20,,,0.35-0.5-1.5
2024-09-21,,,0.35-0.5-1.5
2024-09-22,,,0.35-0.5-1.5
2024-09-23,,,0.35-0.5-1.5
2024-09-24,,,0.35-0.5-1.5
2024-09-25,,,0.35-0.5-1.5
2024-09-26,,,0.35-0.5-1.5
2024-09-27,44.335899995448266,50.91820667622866,0.35-0.5-1.5
2024-09-28,44.437179321677654,51.37961540803717,0.35-0.5-1.5
2024-09-29,44.290825060009674,51.66089973848566,0.35-0.5-1.5
2024-09-30,44.2007940090509,51.86051251655729,0.35-0.5-1.5
2024-10-01,43.99408069984024,51.87521137460298,0.35-0.5-1.5
2024-10-02,43.86996006185992,51.55920558596573,0.35-0.5-1.5
2024-10-03,43.501875650257496,51.52948911198358,0.35-0.5-1.5
2024-10-04,44.177928737438016,50.98025222401926,0.35-0.5-1.5
2024-10-05,43.59379174715899,51.38512237391858,0.35-0.5-1.5
2024-10-06,43.81013429261995,51.99442149033729,0.35-0.5-1.5
2024-10-07,43.77392624987969,51.92697058276312,0.35-0.5-1.5
2024-10-08,43.89054782685424,51.915558783394154,0.35-0.5-1.5
2024-10-09,44.27144308469271,52.262183414866406,0.35-0.5-1.5
2024-10-10,44.39058020616436,52.84739828967065,0.35-0.5-1.5
2024-10-11,44.19883758669511,52.31064826546522,0.35-0.5-1.5
2024-10-12,43.468951774743395,52.09829542061683,0.35-0.5-1.5
2024-10-13,43.961589068088614,52.11224132588949,0.35-0.5-1.5
2024-10-14,43.7054661073116,52.70859512530585,0.35-0.5-1.5
2024-10-15,43.50755490036295,52.720355910831735,0.35-0.5-1.5
2024-10-16,43.60910592493469,52.71626540560526,0.35-0.5-1.5
2024-10-17,43.25776417359657,52.46514938968976,0.35-0.5-1.5
2024-10-18,42.145615656858716,50.933952020791075,0.35-0.5-1.5
2024-10-19,42.538371561597785,51.273923792519916,0.35-0.5-1.5
2024-10-20,42.77484316801842,51.07372010697524,0.35-0.5-1.5
