Date,Harris_avg,Trump_avg,Parameters
2024-07-02,,,0.35-0.5-1.5
2024-07-03,,,0.35-0.5-1.5
2024-07-04,,,0.35-0.5-1.5
2024-07-05,,,0.35-0.5-1.5
2024-07-06,,,0.35-0.5-1.5
2024-07-07,,,0.35-0.5-1.5
2024-07-08,,,0.35-0.5-1.5
2024-07-09,,,0.35-0.5-1.5
2024-07-10,,,0.35-0.5-1.5
2024-07-11,,,0.35-0.5-1.5
2024-07-12,,,0.35-0.5-1.5
2024-07-13,,,0.35-0.5-1.5
2024-07-14,,,0.35-0.5-1.5
2024-07-15,,,0.35-0.5-1.5
2024-07-16,,,0.35-0.5-1.5
2024-07-17,,,0.35-0.5-1.5
2024-07-18,,,0.35-0.5-1.5
2024-07-19,,,0.35-0.5-1.5
2024-07-20,,,0.35-0.5-1.5
2024-07-21,,,0.35-0.5-1.5
2024-07-22,,,0.35-0.5-1.5
2024-07-23,,,0.35-0.5-1.5
2024-07-24,,,0.35-0.5-1.5
2024-07-25,,,0.35-0.5-1.5
2024-07-26,,,0.35-0.5-1.5
2024-07-27,,,0.35-0.5-1.5
2024-07-28,,,0.35-0.5-1.5
2024-07-29,,,0.35-0.5-1.5
2024-07-30,,,0.35-0.5-1.5
2024-07-31,,,0.35-0.5-1.5
2024-08-01,,,0.35-0.5-1.5
2024-08-02,,,0.35-0.5-1.5
2024-08-03,,,0.35-0.5-1.5
2024-08-04,,,0.35-0.5-1.5
2024-08-05,,,0.35-0.5-1.5
2024-08-06,,,0.35-0.5-1.5
2024-08-07,,,0.35-0.5-1.5
2024-08-08,,,0.35-0.5-1.5
2024-08-09,,,0.35-0.5-1.5
2024-08-10,,,0.35-0.5-1.5
2024-08-11,,,0.35-0.5-1.5
2024-08-12,,,0.35-0.5-1.5
2024-08-13,,,0.35-0.5-1.5
2024-08-14,,,0.35-0.5-1.5
2024-08-15,,,0.35-0.5-1.5
2024-08-16,,,0.35-0.5-1.5
2024-08-17,,,0.35-0.5-1.5
2024-08-18,,,0.35-0.5-1.5
2024-08-19,,,0.35-0.5-1.5
2024-08-20,,,0.35-0.5-1.5
2024-08-21,,,0.35-0.5-1.5
2024-08-22,,,0.35-0.5-1.5
2024-08-23,,,0.35-0.5-1.5
2024-08-24,,,0.35-0.5-1.5
2024-08-25,,,0.35-0.5-1.5
2024-08-26,,,0.35-0.5-1.5
2024-08-27,,,0.35-0.5-1.5
2024-08-28,,,0.35-0.5-1.5
2024-08-29,,,0.35-0.5-1.5
2024-08-30,,,0.35-0.5-1.5
2024-08-31,,,0.35-0.5-1.5
2024-09-01,,,0.35-0.5-1.5
2024-09-02,,,0.35-0.5-1.5
2024-09-03,,,0.35-0.5-1.5
2024-09-04,,,0.35-0.5-1.5
2024-09-05,,,0.35-0.5-1.5
2024-09-06,,,0.35-0.5-1.5
2024-09-07,,,0.35-0.5-1.5
2024-09-08,,,0.35-0.5-1.5
2024-09-09,,,0.35-0.5-1.5
2024-09-10,,,0.35-0.5-1.5
2024-09-11,,,0.35-0.5-1.5
2024-09-12,,,0.35-0.5-1.5
2024-09-13,,,0.35-0.5-1.5
2024-09-14,,,0.35-0.5-1.5
2024-09-15,,,0.35-0.5-1.5
2024-09-16,,,0.35-0.5-1.5
2024-09-17,,,0.35-0.5-1.5
2024-09-18,,,0.35-0.5-1.5
2024-09-19,,,0.35-0.5-1.5
2024-09-20,,,0.35-0.5-1.5
2024-09-21,,,0.35-0.5-1.5
2024-09-22,,,0.35-0.5-1.5
2024-09-23,,,0.35-0.5-1.5
2024-09-24,,,0.35-0.5-1.5
2024-09-25,,,0.35-0.5-1.5
2024-09-26,,,0.35-0.5-1.5
2024-09-27,,,0.35-0.5-1.5
2024-09-28,,,0.35-0.5-1.5
2024-09-29,,,0.35-0.5-1.5
2024-09-30,,,0.35-0.5-1.5
2024-10-01,,,0.35-0.5-1.5
2024-10-02,,,0.35-0.5-1.5
2024-10-03,,,0.35-0.5-1.5
2024-10-04,,,0.35-0.5-1.5
2024-10-05,,,0.35-0.5-1.5
2024-10-06,40.568343234690325,51.6883915314268,0.35-0.5-1.5
2024-10-07,40.249233692726634,52.85173499808268,0.35-0.5-1.5
2024-10-08,40.06436709560525,53.84757901177739,0.35-0.5-1.5
2024-10-09,40.16515456366402,54.86920908312271,0.35-0.5-1.5
2024-10-10,40.16587026156879,55.9281138744279,0.35-0.5-1.5
2024-10-11,39.95167928589622,55.75746941353351,0.35-0.5-1.5
2024-10-12,39.28799327874669,55.75668812235215,0.35-0.5-1.5
2024-10-13,39.677723410329044,55.90632108460355,0.35-0.5-1.5
2024-10-14,39.43232218446496,56.62210378419779,0.35-0.5-1.5
2024-10-15,39.24194015846025,56.69638880396641,0.35-0.5-1.5
2024-10-16,39.322217359462684,56.732155523113114,0.35-0.5-1.5
2024-10-17,39.00107338669036,56.48924660565925,0.35-0.5-1.5
2024-10-18,37.99786270446952,54.86214971721645,0.35-0.5-1.5
2024-10-19,38.34636931879997,55.23584078063331,0.35-0.5-1.5
2024-10-20,38.55649737871971,55.02618710660073,0.35-0.5-1.5
2024-10-21,38.68799368719037,56.48586356695219,0.35-0.5-1.5
2024-10-22,38.68887205085354,56.49125192668081,0.35-0.5-1.5
2024-10-23,38.90729234263696,56.5484515046103,0.35-0.5-1.5
2024-10-24,39.118976007006644,56.76183479004222,0.35-0.5-1.5
