Date,Harris_avg,Trump_avg,Parameters
2024-07-02,,,0.35-0.5-1.5
2024-07-03,,,0.35-0.5-1.5
2024-07-04,,,0.35-0.5-1.5
2024-07-05,,,0.35-0.5-1.5
2024-07-06,,,0.35-0.5-1.5
2024-07-07,,,0.35-0.5-1.5
2024-07-08,,,0.35-0.5-1.5
2024-07-09,,,0.35-0.5-1.5
2024-07-10,,,0.35-0.5-1.5
2024-07-11,,,0.35-0.5-1.5
2024-07-12,,,0.35-0.5-1.5
2024-07-13,,,0.35-0.5-1.5
2024-07-14,,,0.35-0.5-1.5
2024-07-15,,,0.35-0.5-1.5
2024-07-16,,,0.35-0.5-1.5
2024-07-17,,,0.35-0.5-1.5
2024-07-18,,,0.35-0.5-1.5
2024-07-19,,,0.35-0.5-1.5
2024-07-20,,,0.35-0.5-1.5
2024-07-21,,,0.35-0.5-1.5
2024-07-22,,,0.35-0.5-1.5
2024-07-23,,,0.35-0.5-1.5
2024-07-24,,,0.35-0.5-1.5
2024-07-25,,,0.35-0.5-1.5
2024-07-26,,,0.35-0.5-1.5
2024-07-27,,,0.35-0.5-1.5
2024-07-28,,,0.35-0.5-1.5
2024-07-29,,,0.35-0.5-1.5
2024-07-30,,,0.35-0.5-1.5
2024-07-31,,,0.35-0.5-1.5
2024-08-01,,,0.35-0.5-1.5
2024-08-02,,,0.35-0.5-1.5
2024-08-03,,,0.35-0.5-1.5
2024-08-04,,,0.35-0.5-1.5
2024-08-05,,,0.35-0.5-1.5
2024-08-06,,,0.35-0.5-1.5
2024-08-07,,,0.35-0.5-1.5
2024-08-08,,,0.35-0.5-1.5
2024-08-09,,,0.35-0.5-1.5
2024-08-10,,,0.35-0.5-1.5
2024-08-11,,,0.35-0.5-1.5
2024-08-12,,,0.35-0.5-1.5
2024-08-13,,,0.35-0.5-1.5
2024-08-14,,,0.35-0.5-1.5
2024-08-15,,,0.35-0.5-1.5
2024-08-16,,,0.35-0.5-1.5
2024-08-17,63.458865882077454,31.99373686857797,0.35-0.5-1.5
2024-08-18,62.802146214483855,31.99531798342754,0.35-0.5-1.5
2024-08-19,62.65667471188542,32.3583322497827,0.35-0.5-1.5
2024-08-20,62.775566318944506,32.82019887059182,0.35-0.5-1.5
2024-08-21,62.03960609043118,32.11448735996225,0.35-0.5-1.5
2024-08-22,62.513907395938894,32.05797749699427,0.35-0.5-1.5
2024-08-23,62.616489140288614,31.88697427403433,0.35-0.5-1.5
2024-08-24,61.91446176499693,31.67560900941588,0.35-0.5-1.5
2024-08-25,62.38228804978216,31.66152881056668,0.35-0.5-1.5
2024-08-26,62.34312357510645,32.062575554799785,0.35-0.5-1.5
2024-08-27,61.49248615740822,33.158101994890394,0.35-0.5-1.5
2024-08-28,61.79143110592582,32.99289857410702,0.35-0.5-1.5
2024-08-29,62.18777004742992,33.24720172194197,0.35-0.5-1.5
2024-08-30,60.31729715801112,32.121137298276324,0.35-0.5-1.5
2024-08-31,61.74945770102197,32.173596269830774,0.35-0.5-1.5
2024-09-01,62.46442397426431,32.68609079431356,0.35-0.5-1.5
2024-09-02,62.8294691370456,32.76039846653386,0.35-0.5-1.5
2024-09-03,63.021059327411166,33.398089707483706,0.35-0.5-1.5
2024-09-04,62.90494578949716,33.661045531172626,0.35-0.5-1.5
2024-09-05,62.96062225477235,33.32333514167511,0.35-0.5-1.5
2024-09-06,63.29129729543525,33.35382891725996,0.35-0.5-1.5
2024-09-07,62.393287391514555,32.523007300700336,0.35-0.5-1.5
2024-09-08,62.67971400393365,32.713480744354364,0.35-0.5-1.5
2024-09-09,63.45278911913781,32.8094926273588,0.35-0.5-1.5
2024-09-10,63.60031722024181,32.801222662245955,0.35-0.5-1.5
2024-09-11,62.81238852944593,32.357523266329366,0.35-0.5-1.5
2024-09-12,64.08782666759444,32.76910738767792,0.35-0.5-1.5
2024-09-13,62.88933898540779,32.58215092627988,0.35-0.5-1.5
2024-09-14,63.47547810060408,32.63949196373741,0.35-0.5-1.5
2024-09-15,63.97331163731748,32.94216980691017,0.35-0.5-1.5
2024-09-16,63.799886739720876,32.72754945110486,0.35-0.5-1.5
2024-09-17,64.3023589026908,32.9851066328738,0.35-0.5-1.5
2024-09-18,63.95235804949499,33.00887632822438,0.35-0.5-1.5
2024-09-19,64.09574109304492,33.16549576323188,0.35-0.5-1.5
2024-09-20,63.8006196611662,32.97506309691724,0.35-0.5-1.5
2024-09-21,63.44087013004396,32.300632990853146,0.35-0.5-1.5
2024-09-22,64.25272789949935,32.3330565147328,0.35-0.5-1.5
2024-09-23,64.7747422926146,32.36578746336655,0.35-0.5-1.5
2024-09-24,64.52758216619614,32.41898653497146,0.35-0.5-1.5
2024-09-25,64.10782696472302,32.37869565342965,0.35-0.5-1.5
2024-09-26,63.83464013247283,33.33552863301542,0.35-0.5-1.5
2024-09-27,63.86049336643536,32.92272041657374,0.35-0.5-1.5
2024-09-28,64.46422788238635,33.28198214944189,0.35-0.5-1.5
2024-09-29,64.34202296598338,33.33287599468977,0.35-0.5-1.5
2024-09-30,64.30961532559829,33.34245153870595,0.35-0.5-1.5
2024-10-01,64.0560829671862,33.259868812744,0.35-0.5-1.5
2024-10-02,63.92418979735425,32.989779861867625,0.35-0.5-1.5
2024-10-03,63.40586924704875,32.943684799903316,0.35-0.5-1.5
2024-10-04,64.4538424903478,32.56874465623064,0.35-0.5-1.5
