Date,Harris_avg,Trump_avg,Parameters
2024-07-02,,,0.35-0.5-1.5
2024-07-03,,,0.35-0.5-1.5
2024-07-04,,,0.35-0.5-1.5
2024-07-05,,,0.35-0.5-1.5
2024-07-06,,,0.35-0.5-1.5
2024-07-07,,,0.35-0.5-1.5
2024-07-08,,,0.35-0.5-1.5
2024-07-09,,,0.35-0.5-1.5
2024-07-10,,,0.35-0.5-1.5
2024-07-11,,,0.35-0.5-1.5
2024-07-12,,,0.35-0.5-1.5
2024-07-13,,,0.35-0.5-1.5
2024-07-14,,,0.35-0.5-1.5
2024-07-15,,,0.35-0.5-1.5
2024-07-16,,,0.35-0.5-1.5
2024-07-17,,,0.35-0.5-1.5
2024-07-18,,,0.35-0.5-1.5
2024-07-19,,,0.35-0.5-1.5
2024-07-20,,,0.35-0.5-1.5
2024-07-21,,,0.35-0.5-1.5
2024-07-22,,,0.35-0.5-1.5
2024-07-23,,,0.35-0.5-1.5
2024-07-24,,,0.35-0.5-1.5
2024-07-25,,,0.35-0.5-1.5
2024-07-26,,,0.35-0.5-1.5
2024-07-27,,,0.35-0.5-1.5
2024-07-28,,,0.35-0.5-1.5
2024-07-29,,,0.35-0.5-1.5
2024-07-30,,,0.35-0.5-1.5
2024-07-31,,,0.35-0.5-1.5
2024-08-01,,,0.35-0.5-1.5
2024-08-02,,,0.35-0.5-1.5
2024-08-03,,,0.35-0.5-1.5
2024-08-04,,,0.35-0.5-1.5
2024-08-05,,,0.35-0.5-1.5
2024-08-06,,,0.35-0.5-1.5
2024-08-07,,,0.35-0.5-1.5
2024-08-08,40.49214118954474,56.955119649398405,0.35-0.5-1.5
2024-08-09,40.027629612136394,55.748175389972225,0.35-0.5-1.5
2024-08-10,39.630808025690335,55.13521568117548,0.35-0.5-1.5
2024-08-11,39.38133674588351,54.303066016943276,0.35-0.5-1.5
2024-08-12,39.62651139154347,54.36620487733981,0.35-0.5-1.5
2024-08-13,39.5375393266853,54.59935403186569,0.35-0.5-1.5
2024-08-14,39.294594148422874,54.105292581173074,0.35-0.5-1.5
2024-08-15,39.52195046307388,54.316090094977476,0.35-0.5-1.5
2024-08-16,39.239348437515716,53.94324389172522,0.35-0.5-1.5
2024-08-17,39.03392858488647,53.67827083962985,0.35-0.5-1.5
2024-08-18,38.751901048536936,53.48540957741222,0.35-0.5-1.5
2024-08-19,38.9484761076453,54.27759334908086,0.35-0.5-1.5
2024-08-20,39.17343977885238,55.13472807039349,0.35-0.5-1.5
2024-08-21,38.681852001908005,53.68903788658445,0.35-0.5-1.5
2024-08-22,39.02221623128883,53.618842460835666,0.35-0.5-1.5
2024-08-23,39.076691002046736,53.35390743724504,0.35-0.5-1.5
2024-08-24,38.60581733272673,53.02551300228254,0.35-0.5-1.5
2024-08-25,38.89070942245827,53.03619758576713,0.35-0.5-1.5
2024-08-26,38.851564914217924,53.74512836808769,0.35-0.5-1.5
2024-08-27,39.32767199655152,54.71100243735846,0.35-0.5-1.5
2024-08-28,39.10446563985313,54.736949142787736,0.35-0.5-1.5
2024-08-29,39.09052217104744,55.47050809831097,0.35-0.5-1.5
2024-08-30,37.657221303741146,53.56564484088737,0.35-0.5-1.5
2024-08-31,38.52640145887114,53.790790243107274,0.35-0.5-1.5
2024-09-01,38.93588830170298,54.756177947401795,0.35-0.5-1.5
2024-09-02,39.13687721149385,54.921345582959326,0.35-0.5-1.5
2024-09-03,39.60618191903018,55.522572127024326,0.35-0.5-1.5
2024-09-04,39.27855405801251,56.3154466725623,0.35-0.5-1.5
2024-09-05,39.23056468271916,55.76590608429285,0.35-0.5-1.5
2024-09-06,39.416740588586755,55.89267372395619,0.35-0.5-1.5
2024-09-07,38.81023945359709,54.46613329401156,0.35-0.5-1.5
2024-09-08,38.996401190910994,54.84125032288305,0.35-0.5-1.5
2024-09-09,39.48930269049427,55.02881002148187,0.35-0.5-1.5
2024-09-10,39.58164871680006,55.027220448012294,0.35-0.5-1.5
2024-09-11,39.08718426281415,54.28367898543662,0.35-0.5-1.5
2024-09-12,40.299934301560555,54.057821488954744,0.35-0.5-1.5
2024-09-13,39.52886713719185,53.7091396028301,0.35-0.5-1.5
2024-09-14,39.951566671051,54.29439240774764,0.35-0.5-1.5
2024-09-15,40.117871724476394,55.09452175876017,0.35-0.5-1.5
2024-09-16,39.94058167624318,54.57896757470417,0.35-0.5-1.5
2024-09-17,40.220356914618094,55.34835589810908,0.35-0.5-1.5
2024-09-18,39.893451724286756,55.450571124058946,0.35-0.5-1.5
2024-09-19,39.967845281399505,55.75503900555185,0.35-0.5-1.5
2024-09-20,39.753588077368924,55.403581395142936,0.35-0.5-1.5
2024-09-21,39.572789976961516,54.28597949080698,0.35-0.5-1.5
2024-09-22,40.17779033054025,54.15382073058965,0.35-0.5-1.5
2024-09-23,40.48051793716854,54.08687999215266,0.35-0.5-1.5
2024-09-24,40.88866174755319,54.82037026408291,0.35-0.5-1.5
2024-09-25,40.4126592628044,54.56857982017394,0.35-0.5-1.5
2024-09-26,40.26327803086184,54.382003169791126,0.35-0.5-1.5
2024-09-27,40.079254320987616,54.12710915112781,0.35-0.5-1.5
2024-09-28,40.36193861482148,55.23977946150809,0.35-0.5-1.5
2024-09-29,40.1914131323186,55.59677603344528,0.35-0.5-1.5
2024-09-30,40.116516753341216,55.76959808318791,0.35-0.5-1.5
