Date,Harris_avg,Trump_avg,Parameters
2024-07-02,,,0.35-0.5-1.5
2024-07-03,,,0.35-0.5-1.5
2024-07-04,,,0.35-0.5-1.5
2024-07-05,,,0.35-0.5-1.5
2024-07-06,,,0.35-0.5-1.5
2024-07-07,,,0.35-0.5-1.5
2024-07-08,,,0.35-0.5-1.5
2024-07-09,,,0.35-0.5-1.5
2024-07-10,,,0.35-0.5-1.5
2024-07-11,,,0.35-0.5-1.5
2024-07-12,,,0.35-0.5-1.5
2024-07-13,,,0.35-0.5-1.5
2024-07-14,,,0.35-0.5-1.5
2024-07-15,,,0.35-0.5-1.5
2024-07-16,,,0.35-0.5-1.5
2024-07-17,,,0.35-0.5-1.5
2024-07-18,,,0.35-0.5-1.5
2024-07-19,,,0.35-0.5-1.5
2024-07-20,,,0.35-0.5-1.5
2024-07-21,,,0.35-0.5-1.5
2024-07-22,,,0.35-0.5-1.5
2024-07-23,,,0.35-0.5-1.5
2024-07-24,,,0.35-0.5-1.5
2024-07-25,,,0.35-0.5-1.5
2024-07-26,,,0.35-0.5-1.5
2024-07-27,,,0.35-0.5-1.5
2024-07-28,,,0.35-0.5-1.5
2024-07-29,,,0.35-0.5-1.5
2024-07-30,,,0.35-0.5-1.5
2024-07-31,,,0.35-0.5-1.5
2024-08-01,,,0.35-0.5-1.5
2024-08-02,,,0.35-0.5-1.5
2024-08-03,,,0.35-0.5-1.5
2024-08-04,,,0.35-0.5-1.5
2024-08-05,40.80466288209512,56.43019274202626,0.35-0.5-1.5
2024-08-06,40.1719998134708,55.81093536559051,0.35-0.5-1.5
2024-08-07,39.50205167123756,55.52727515711106,0.35-0.5-1.5
2024-08-08,39.17286884266567,55.269274697678654,0.35-0.5-1.5
2024-08-09,38.769477498215515,54.862549994956204,0.35-0.5-1.5
2024-08-10,38.51347770043387,55.11386806667568,0.35-0.5-1.5
2024-08-11,38.39272556085018,54.67304116804764,0.35-0.5-1.5
2024-08-12,38.13685786298945,54.71300753737636,0.35-0.5-1.5
2024-08-13,38.35149532907856,55.377098674314425,0.35-0.5-1.5
2024-08-14,38.24199354372593,54.824238517115695,0.35-0.5-1.5
2024-08-15,38.5977204020568,55.07857556971095,0.35-0.5-1.5
2024-08-16,38.35653482468392,54.66473633859827,0.35-0.5-1.5
2024-08-17,38.18675266894552,54.38297856436964,0.35-0.5-1.5
2024-08-18,37.93118593334023,54.18326948307121,0.35-0.5-1.5
2024-08-19,38.14807282219691,55.00120292171238,0.35-0.5-1.5
2024-08-20,38.38341447571952,55.87483551317543,0.35-0.5-1.5
2024-08-21,37.90523028665837,54.39329029644206,0.35-0.5-1.5
2024-08-22,38.246445348115735,54.321250737779096,0.35-0.5-1.5
2024-08-23,38.30340260146423,54.05168349814976,0.35-0.5-1.5
2024-08-24,37.84305125435848,53.71833913987897,0.35-0.5-1.5
2024-08-25,38.12447296615139,53.729365354271714,0.35-0.5-1.5
2024-08-26,38.08710587993766,54.44825057896273,0.35-0.5-1.5
2024-08-27,39.1958949672686,55.59062896155911,0.35-0.5-1.5
2024-08-28,38.77151524282503,55.562786044852245,0.35-0.5-1.5
2024-08-29,38.591604935889684,56.198186659956825,0.35-0.5-1.5
2024-08-30,37.17923016516282,54.410710701145234,0.35-0.5-1.5
2024-08-31,37.894155672383086,54.583988763834036,0.35-0.5-1.5
2024-09-01,38.23581839194826,55.50621126496199,0.35-0.5-1.5
2024-09-02,38.40369189278668,55.66127824395973,0.35-0.5-1.5
2024-09-03,38.84398548964582,56.2570945994969,0.35-0.5-1.5
2024-09-04,38.51882968579315,57.052128432901156,0.35-0.5-1.5
2024-09-05,38.46733564039134,56.498933505241936,0.35-0.5-1.5
2024-09-06,38.64639863786748,56.62604658476657,0.35-0.5-1.5
2024-09-07,38.05165448290807,55.183415678969425,0.35-0.5-1.5
2024-09-08,38.23262938011388,55.56127330116867,0.35-0.5-1.5
2024-09-09,38.71475352519105,55.75016529922034,0.35-0.5-1.5
2024-09-10,38.80501288694492,55.74795276296251,0.35-0.5-1.5
2024-09-11,38.32035004632088,54.99455999549788,0.35-0.5-1.5
2024-09-12,38.92072261718823,55.336871155285706,0.35-0.5-1.5
2024-09-13,38.250862980218955,54.6388386174867,0.35-0.5-1.5
2024-09-14,38.90722340621435,55.17799563941662,0.35-0.5-1.5
2024-09-15,38.91710185851528,56.69291438203289,0.35-0.5-1.5
2024-09-16,38.8937517624778,55.92691878068295,0.35-0.5-1.5
2024-09-17,39.23542849109622,56.40714667903646,0.35-0.5-1.5
2024-09-18,39.00125662488082,56.37621102844408,0.35-0.5-1.5
2024-09-19,39.11156536208272,56.59553840969276,0.35-0.5-1.5
2024-09-20,38.93249266264524,56.20220932155632,0.35-0.5-1.5
2024-09-21,38.77296365717005,55.055748385149705,0.35-0.5-1.5
2024-09-22,39.36954420433062,54.89943144735347,0.35-0.5-1.5
2024-09-23,39.671973228023845,54.817138091406406,0.35-0.5-1.5
2024-09-24,39.45539059108381,54.864068491324375,0.35-0.5-1.5
2024-09-25,39.157638797538745,54.79563161892291,0.35-0.5-1.5
2024-09-26,39.17748508712952,54.76044344327695,0.35-0.5-1.5
2024-09-27,39.09767942024953,54.602948015232315,0.35-0.5-1.5
2024-09-28,39.46113582778762,55.86524004758728,0.35-0.5-1.5
2024-09-29,39.329418855484505,56.27114200224862,0.35-0.5-1.5
