Date,Harris_avg,Trump_avg,Parameters
2024-07-02,,,0.35-0.5-1.5
2024-07-03,,,0.35-0.5-1.5
2024-07-04,,,0.35-0.5-1.5
2024-07-05,,,0.35-0.5-1.5
2024-07-06,,,0.35-0.5-1.5
2024-07-07,,,0.35-0.5-1.5
2024-07-08,,,0.35-0.5-1.5
2024-07-09,,,0.35-0.5-1.5
2024-07-10,,,0.35-0.5-1.5
2024-07-11,,,0.35-0.5-1.5
2024-07-12,,,0.35-0.5-1.5
2024-07-13,,,0.35-0.5-1.5
2024-07-14,,,0.35-0.5-1.5
2024-07-15,,,0.35-0.5-1.5
2024-07-16,,,0.35-0.5-1.5
2024-07-17,,,0.35-0.5-1.5
2024-07-18,,,0.35-0.5-1.5
2024-07-19,,,0.35-0.5-1.5
2024-07-20,,,0.35-0.5-1.5
2024-07-21,,,0.35-0.5-1.5
2024-07-22,,,0.35-0.5-1.5
2024-07-23,,,0.35-0.5-1.5
2024-07-24,,,0.35-0.5-1.5
2024-07-25,,,0.35-0.5-1.5
2024-07-26,,,0.35-0.5-1.5
2024-07-27,,,0.35-0.5-1.5
2024-07-28,,,0.35-0.5-1.5
2024-07-29,,,0.35-0.5-1.5
2024-07-30,,,0.35-0.5-1.5
2024-07-31,,,0.35-0.5-1.5
2024-08-01,,,0.35-0.5-1.5
2024-08-02,,,0.35-0.5-1.5
2024-08-03,,,0.35-0.5-1.5
2024-08-04,,,0.35-0.5-1.5
2024-08-05,,,0.35-0.5-1.5
2024-08-06,,,0.35-0.5-1.5
2024-08-07,,,0.35-0.5-1.5
2024-08-08,,,0.35-0.5-1.5
2024-08-09,,,0.35-0.5-1.5
2024-08-10,,,0.35-0.5-1.5
2024-08-11,,,0.35-0.5-1.5
2024-08-12,,,0.35-0.5-1.5
2024-08-13,,,0.35-0.5-1.5
2024-08-14,,,0.35-0.5-1.5
2024-08-15,,,0.35-0.5-1.5
2024-08-16,,,0.35-0.5-1.5
2024-08-17,,,0.35-0.5-1.5
2024-08-18,,,0.35-0.5-1.5
2024-08-19,,,0.35-0.5-1.5
2024-08-20,,,0.35-0.5-1.5
2024-08-21,,,0.35-0.5-1.5
2024-08-22,,,0.35-0.5-1.5
2024-08-23,,,0.35-0.5-1.5
2024-08-24,,,0.35-0.5-1.5
2024-08-25,47.96735711373106,42.4931308669596,0.35-0.5-1.5
2024-08-26,48.42158964587803,43.04264651748413,0.35-0.5-1.5
2024-08-27,49.23742355704354,43.87037503030996,0.35-0.5-1.5
2024-08-28,49.347854074763006,44.17082115872928,0.35-0.5-1.5
2024-08-29,49.53031935573176,44.882376166895185,0.35-0.5-1.5
2024-08-30,47.9786431797667,43.60814195977437,0.35-0.5-1.5
2024-08-31,49.04741051621287,43.832921992449904,0.35-0.5-1.5
2024-09-01,49.583132795805376,44.629714930010415,0.35-0.5-1.5
2024-09-02,49.85896269226486,44.79446755628878,0.35-0.5-1.5
2024-09-03,50.46584489937695,45.30052087440166,0.35-0.5-1.5
2024-09-04,50.06574777763743,45.95878700267439,0.35-0.5-1.5
2024-09-05,50.01188292074705,45.52587222863564,0.35-0.5-1.5
2024-09-06,50.25235998920408,45.63648470700352,0.35-0.5-1.5
2024-09-07,49.483837237132384,44.47942348410135,0.35-0.5-1.5
2024-09-08,49.72174550812728,44.787426434779746,0.35-0.5-1.5
2024-09-09,50.35019888589102,44.94201763630399,0.35-0.5-1.5
2024-09-10,50.4684857506327,44.94179534494778,0.35-0.5-1.5
2024-09-11,49.838704494233006,44.3354848093444,0.35-0.5-1.5
2024-09-12,50.61976977033859,44.61211873688067,0.35-0.5-1.5
2024-09-13,49.748738023622444,44.04982449746114,0.35-0.5-1.5
2024-09-14,50.60244414545583,44.484784602685274,0.35-0.5-1.5
2024-09-15,50.953423923945785,45.113029342244424,0.35-0.5-1.5
2024-09-16,50.786926093763284,44.615433240180366,0.35-0.5-1.5
2024-09-17,51.202931767999786,45.23946847067545,0.35-0.5-1.5
2024-09-18,50.805563993552305,45.30633891120064,0.35-0.5-1.5
2024-09-19,50.92248542000523,45.54806749211928,0.35-0.5-1.5
2024-09-20,50.660397499330294,45.25257084146348,0.35-0.5-1.5
2024-09-21,50.438225729320806,44.332784794104555,0.35-0.5-1.5
2024-09-22,51.21899475805883,44.22531678731622,0.35-0.5-1.5
2024-09-23,51.60938073509539,44.171583176314975,0.35-0.5-1.5
2024-09-24,51.321416383520436,44.21806658004054,0.35-0.5-1.5
2024-09-25,51.03867492926096,43.738426967218295,0.35-0.5-1.5
2024-09-26,51.04091779655742,43.867110855518874,0.35-0.5-1.5
2024-09-27,50.92831937507733,43.85179194818095,0.35-0.5-1.5
2024-09-28,51.34739272074407,44.85850646397002,0.35-0.5-1.5
2024-09-29,51.17908847215513,45.234270930040694,0.35-0.5-1.5
2024-09-30,51.11145767071677,45.43410067151085,0.35-0.5-1.5
2024-10-01,50.881291910833696,45.431262732887774,0.35-0.5-1.5
2024-10-02,50.760138008531875,45.12447515653251,0.35-0.5-1.5
2024-10-03,50.33671682730523,45.101244163926424,0.35-0.5-1.5
2024-10-04,51.166464987957866,44.608786262328834,0.35-0.5-1.5
2024-10-05,50.48106364937762,44.97804532386052,0.35-0.5-1.5
2024-10-06,50.74269543578566,45.52078677353092,0.35-0.5-1.5
2024-10-07,50.70416139182333,45.46043429706551,0.35-0.5-1.5
