Date,Harris_avg,Trump_avg,Parameters
2024-07-02,,,0.35-0.5-1.5
2024-07-03,,,0.35-0.5-1.5
2024-07-04,,,0.35-0.5-1.5
2024-07-05,,,0.35-0.5-1.5
2024-07-06,,,0.35-0.5-1.5
2024-07-07,,,0.35-0.5-1.5
2024-07-08,,,0.35-0.5-1.5
2024-07-09,,,0.35-0.5-1.5
2024-07-10,,,0.35-0.5-1.5
2024-07-11,,,0.35-0.5-1.5
2024-07-12,,,0.35-0.5-1.5
2024-07-13,,,0.35-0.5-1.5
2024-07-14,,,0.35-0.5-1.5
2024-07-15,,,0.35-0.5-1.5
2024-07-16,,,0.35-0.5-1.5
2024-07-17,,,0.35-0.5-1.5
2024-07-18,,,0.35-0.5-1.5
2024-07-19,,,0.35-0.5-1.5
2024-07-20,,,0.35-0.5-1.5
2024-07-21,,,0.35-0.5-1.5
2024-07-22,,,0.35-0.5-1.5
2024-07-23,,,0.35-0.5-1.5
2024-07-24,,,0.35-0.5-1.5
2024-07-25,,,0.35-0.5-1.5
2024-07-26,,,0.35-0.5-1.5
2024-07-27,,,0.35-0.5-1.5
2024-07-28,,,0.35-0.5-1.5
2024-07-29,,,0.35-0.5-1.5
2024-07-30,,,0.35-0.5-1.5
2024-07-31,,,0.35-0.5-1.5
2024-08-01,,,0.35-0.5-1.5
2024-08-02,,,0.35-0.5-1.5
2024-08-03,,,0.35-0.5-1.5
2024-08-04,,,0.35-0.5-1.5
2024-08-05,,,0.35-0.5-1.5
2024-08-06,,,0.35-0.5-1.5
2024-08-07,,,0.35-0.5-1.5
2024-08-08,,,0.35-0.5-1.5
2024-08-09,,,0.35-0.5-1.5
2024-08-10,,,0.35-0.5-1.5
2024-08-11,,,0.35-0.5-1.5
2024-08-12,,,0.35-0.5-1.5
2024-08-13,,,0.35-0.5-1.5
2024-08-14,,,0.35-0.5-1.5
2024-08-15,,,0.35-0.5-1.5
2024-08-16,,,0.35-0.5-1.5
2024-08-17,,,0.35-0.5-1.5
2024-08-18,,,0.35-0.5-1.5
2024-08-19,,,0.35-0.5-1.5
2024-08-20,,,0.35-0.5-1.5
2024-08-21,,,0.35-0.5-1.5
2024-08-22,,,0.35-0.5-1.5
2024-08-23,,,0.35-0.5-1.5
2024-08-24,,,0.35-0.5-1.5
2024-08-25,36.786287889472234,54.47507131382977,0.35-0.5-1.5
2024-08-26,36.667848353082185,55.10018770644283,0.35-0.5-1.5
2024-08-27,36.92355306282943,55.44645629253961,0.35-0.5-1.5
2024-08-28,36.785909417058484,55.962062940440276,0.35-0.5-1.5
2024-08-29,36.74551118203196,56.92411984944723,0.35-0.5-1.5
2024-08-30,35.58285752881089,55.565474006277775,0.35-0.5-1.5
2024-08-31,36.21891011878889,55.87429014483809,0.35-0.5-1.5
2024-09-01,36.540114733982016,56.88418276106068,0.35-0.5-1.5
2024-09-02,36.702444090834355,57.11497951845063,0.35-0.5-1.5
2024-09-03,37.11951605988747,57.76847300988488,0.35-0.5-1.5
2024-09-04,36.81423536001092,58.613867118024174,0.35-0.5-1.5
2024-09-05,36.76470432026824,58.07424624041786,0.35-0.5-1.5
2024-09-06,36.933849922077755,58.219931471749355,0.35-0.5-1.5
2024-09-07,36.36600469201962,56.750107277648546,0.35-0.5-1.5
2024-09-08,36.537106754287436,57.14336380323892,0.35-0.5-1.5
2024-09-09,36.996186154093884,57.341085477608985,0.35-0.5-1.5
2024-09-10,37.08170528001611,57.341244437414694,0.35-0.5-1.5
2024-09-11,36.61831100330569,56.56820312288495,0.35-0.5-1.5
2024-09-12,37.19135904444908,56.921112483007086,0.35-0.5-1.5
2024-09-13,36.551135561492835,56.20383577125194,0.35-0.5-1.5
2024-09-14,37.17798835853227,56.75872467391969,0.35-0.5-1.5
2024-09-15,37.43566080220257,57.56025456455502,0.35-0.5-1.5
2024-09-16,37.31323120402914,56.92541052597783,0.35-0.5-1.5
2024-09-17,37.61878491049791,57.72159946534921,0.35-0.5-1.5
2024-09-18,37.32679832230978,57.80692405540117,0.35-0.5-1.5
2024-09-19,37.41266548096487,58.115347801571815,0.35-0.5-1.5
2024-09-20,37.22008976614027,57.738325638389895,0.35-0.5-1.5
2024-09-21,37.77690771809204,56.400314393759935,0.35-0.5-1.5
2024-09-22,38.03504240627159,56.31876850250693,0.35-0.5-1.5
2024-09-23,38.1718187073417,56.26783621914472,0.35-0.5-1.5
2024-09-24,37.90143665155694,56.33305618003789,0.35-0.5-1.5
2024-09-25,37.56906751736921,56.28644403263393,0.35-0.5-1.5
2024-09-26,37.54101091359898,56.26878531422102,0.35-0.5-1.5
2024-09-27,37.43373327558581,56.12419950812015,0.35-0.5-1.5
2024-09-28,37.754026733189725,57.41869774380066,0.35-0.5-1.5
2024-09-29,38.677650187483394,56.69696423271009,0.35-0.5-1.5
2024-09-30,38.16522938905412,57.388157655593275,0.35-0.5-1.5
2024-10-01,37.68997463020627,57.7226115760275,0.35-0.5-1.5
2024-10-02,37.88298394230555,57.284251995134404,0.35-0.5-1.5
2024-10-03,37.31214803066053,57.51372403292533,0.35-0.5-1.5
2024-10-04,37.68428118381787,57.03090503355497,0.35-0.5-1.5
2024-10-05,37.444292104685154,57.54391554429718,0.35-0.5-1.5
2024-10-06,37.41176187709479,57.779930651708696,0.35-0.5-1.5
2024-10-07,37.3088419474702,57.736865007234215,0.35-0.5-1.5
