Date,Harris_avg,Trump_avg,Parameters
2024-07-02,,,0.35-0.5-1.5
2024-07-03,,,0.35-0.5-1.5
2024-07-04,,,0.35-0.5-1.5
2024-07-05,,,0.35-0.5-1.5
2024-07-06,,,0.35-0.5-1.5
2024-07-07,,,0.35-0.5-1.5
2024-07-08,,,0.35-0.5-1.5
2024-07-09,,,0.35-0.5-1.5
2024-07-10,,,0.35-0.5-1.5
2024-07-11,,,0.35-0.5-1.5
2024-07-12,,,0.35-0.5-1.5
2024-07-13,,,0.35-0.5-1.5
2024-07-14,,,0.35-0.5-1.5
2024-07-15,,,0.35-0.5-1.5
2024-07-16,,,0.35-0.5-1.5
2024-07-17,,,0.35-0.5-1.5
2024-07-18,,,0.35-0.5-1.5
2024-07-19,,,0.35-0.5-1.5
2024-07-20,,,0.35-0.5-1.5
2024-07-21,,,0.35-0.5-1.5
2024-07-22,,,0.35-0.5-1.5
2024-07-23,,,0.35-0.5-1.5
2024-07-24,50.89746025291119,45.87408007789806,0.35-0.5-1.5
2024-07-25,50.10415622463713,45.66182777541262,0.35-0.5-1.5
2024-07-26,49.48545148250569,45.740687866139965,0.35-0.5-1.5
2024-07-27,50.19181468287047,46.503320927127874,0.35-0.5-1.5
2024-07-28,50.01326800090689,46.04979089004057,0.35-0.5-1.5
2024-07-29,49.33510592970913,45.54034858988173,0.35-0.5-1.5
2024-07-30,48.900981039187386,44.77103484152856,0.35-0.5-1.5
2024-07-31,48.9642294503586,45.151782435104124,0.35-0.5-1.5
2024-08-01,48.680106963117865,44.887605749448426,0.35-0.5-1.5
2024-08-02,49.00329160871149,45.46241948609321,0.35-0.5-1.5
2024-08-03,49.22078176201248,44.57920176172517,0.35-0.5-1.5
2024-08-04,49.30794584672931,44.35722096520218,0.35-0.5-1.5
2024-08-05,49.471388451651634,44.02940672715309,0.35-0.5-1.5
2024-08-06,49.85859369104307,43.85976428301788,0.35-0.5-1.5
2024-08-07,49.77551050634105,44.05327953145975,0.35-0.5-1.5
2024-08-08,49.97509620057533,44.08939167672334,0.35-0.5-1.5
2024-08-09,49.80210271363076,43.88831461993819,0.35-0.5-1.5
2024-08-10,49.709123348162024,44.22458785738628,0.35-0.5-1.5
2024-08-11,49.712721310309256,43.90966631040044,0.35-0.5-1.5
2024-08-12,49.47325002565307,43.98627500104695,0.35-0.5-1.5
2024-08-13,49.8286589418208,44.5593568715646,0.35-0.5-1.5
2024-08-14,49.72497706657397,44.11918185707254,0.35-0.5-1.5
2024-08-15,50.2191939907138,44.33544283294367,0.35-0.5-1.5
2024-08-16,49.91837599392709,44.00537199630126,0.35-0.5-1.5
2024-08-17,50.29650699891874,44.609769678677964,0.35-0.5-1.5
2024-08-18,49.82673835282193,44.1726783723974,0.35-0.5-1.5
2024-08-19,49.93492473954759,44.555048070965135,0.35-0.5-1.5
2024-08-20,50.1356229175367,45.105080396312395,0.35-0.5-1.5
2024-08-21,49.49127437881761,43.917525466729806,0.35-0.5-1.5
2024-08-22,49.87960356478064,43.8141656045951,0.35-0.5-1.5
2024-08-23,49.92780276910673,43.57178163630114,0.35-0.5-1.5
2024-08-24,49.3194100046173,43.28725446083664,0.35-0.5-1.5
2024-08-25,49.66942378981028,43.28307406145468,0.35-0.5-1.5
2024-08-26,49.612892665260404,43.85102312630443,0.35-0.5-1.5
2024-08-27,50.214335509745155,44.63277279436095,0.35-0.5-1.5
2024-08-28,49.92733521241604,44.65229785755281,0.35-0.5-1.5
2024-08-29,49.90762280644023,45.249073341206994,0.35-0.5-1.5
2024-08-30,48.07792972285722,43.69615387609605,0.35-0.5-1.5
2024-08-31,49.18560508172772,43.87918677981976,0.35-0.5-1.5
2024-09-01,49.70746509766814,44.66614430981458,0.35-0.5-1.5
2024-09-02,49.96356738478096,44.80077657765685,0.35-0.5-1.5
2024-09-03,50.56233723310787,45.29112411415858,0.35-0.5-1.5
2024-09-04,50.14396622159195,45.93785397441551,0.35-0.5-1.5
2024-09-05,50.082588993557465,45.48964326754216,0.35-0.5-1.5
2024-09-06,50.32017529288868,45.59306683880004,0.35-0.5-1.5
2024-09-07,49.5458748744458,44.4294452755215,0.35-0.5-1.5
2024-09-08,49.783487483174746,44.73543592614865,0.35-0.5-1.5
2024-09-09,50.41270089224973,44.88843624149215,0.35-0.5-1.5
2024-09-10,50.530575482462865,44.88714377181184,0.35-0.5-1.5
2024-09-11,49.89932746562279,44.28062319556331,0.35-0.5-1.5
2024-09-12,50.681437274774794,44.5566461632577,0.35-0.5-1.5
2024-09-13,49.80902059485451,43.99469656778528,0.35-0.5-1.5
2024-09-14,50.66383791448564,44.429040554388976,0.35-0.5-1.5
2024-09-15,51.01521917906839,45.056447086965406,0.35-0.5-1.5
2024-09-16,50.848470332111724,44.559368350171695,0.35-0.5-1.5
2024-09-17,51.2649741471351,45.18259589125648,0.35-0.5-1.5
2024-09-18,50.86709952565916,45.249347745213285,0.35-0.5-1.5
2024-09-19,50.984157890169875,45.49075176662108,0.35-0.5-1.5
2024-09-20,50.72174604646106,45.19560782034434,0.35-0.5-1.5
2024-09-21,50.49930261465513,44.27696464205768,0.35-0.5-1.5
2024-09-22,51.2810203354658,44.169627285970904,0.35-0.5-1.5
2024-09-23,51.671879193150254,44.11595861816151,0.35-0.5-1.5
2024-09-24,51.383564817572505,44.16238194778158,0.35-0.5-1.5
