Date,Harris_avg,Trump_avg,Parameters
2024-07-02,,,0.35-0.5-1.5
2024-07-03,,,0.35-0.5-1.5
2024-07-04,,,0.35-0.5-1.5
2024-07-05,,,0.35-0.5-1.5
2024-07-06,,,0.35-0.5-1.5
2024-07-07,,,0.35-0.5-1.5
2024-07-08,,,0.35-0.5-1.5
2024-07-09,,,0.35-0.5-1.5
2024-07-10,,,0.35-0.5-1.5
2024-07-11,,,0.35-0.5-1.5
2024-07-12,,,0.35-0.5-1.5
2024-07-13,,,0.35-0.5-1.5
2024-07-14,,,0.35-0.5-1.5
2024-07-15,,,0.35-0.5-1.5
2024-07-16,,,0.35-0.5-1.5
2024-07-17,,,0.35-0.5-1.5
2024-07-18,,,0.35-0.5-1.5
2024-07-19,,,0.35-0.5-1.5
2024-07-20,,,0.35-0.5-1.5
2024-07-21,,,0.35-0.5-1.5
2024-07-22,,,0.35-0.5-1.5
2024-07-23,,,0.35-0.5-1.5
2024-07-24,,,0.35-0.5-1.5
2024-07-25,,,0.35-0.5-1.5
2024-07-26,,,0.35-0.5-1.5
2024-07-27,,,0.35-0.5-1.5
2024-07-28,,,0.35-0.5-1.5
2024-07-29,,,0.35-0.5-1.5
2024-07-30,,,0.35-0.5-1.5
2024-07-31,,,0.35-0.5-1.5
2024-08-01,,,0.35-0.5-1.5
2024-08-02,,,0.35-0.5-1.5
2024-08-03,,,0.35-0.5-1.5
2024-08-04,,,0.35-0.5-1.5
2024-08-05,,,0.35-0.5-1.5
2024-08-06,,,0.35-0.5-1.5
2024-08-07,,,0.35-0.5-1.5
2024-08-08,,,0.35-0.5-1.5
2024-08-09,,,0.35-0.5-1.5
2024-08-10,,,0.35-0.5-1.5
2024-08-11,,,0.35-0.5-1.5
2024-08-12,,,0.35-0.5-1.5
2024-08-13,,,0.35-0.5-1.5
2024-08-14,,,0.35-0.5-1.5
2024-08-15,,,0.35-0.5-1.5
2024-08-16,,,0.35-0.5-1.5
2024-08-17,,,0.35-0.5-1.5
2024-08-18,,,0.35-0.5-1.5
2024-08-19,,,0.35-0.5-1.5
2024-08-20,,,0.35-0.5-1.5
2024-08-21,52.8350129594363,44.66290230016148,0.35-0.5-1.5
2024-08-22,52.681087088364606,43.74041236213443,0.35-0.5-1.5
2024-08-23,52.46675589878915,42.84931632709837,0.35-0.5-1.5
2024-08-24,51.79789808337501,42.11140490957818,0.35-0.5-1.5
2024-08-25,51.98810325991536,41.76612081869886,0.35-0.5-1.5
2024-08-26,51.87601637700374,42.0582105705085,0.35-0.5-1.5
2024-08-27,52.440429555076335,42.65804353380357,0.35-0.5-1.5
2024-08-28,52.14636292230001,42.62734795011795,0.35-0.5-1.5
2024-08-29,52.123088686024474,43.15749724770953,0.35-0.5-1.5
2024-08-30,50.23831932236198,41.687525942825914,0.35-0.5-1.5
2024-08-31,51.3767538241978,41.848749025481716,0.35-0.5-1.5
2024-09-01,51.917915586272315,42.58893510062678,0.35-0.5-1.5
2024-09-02,52.18559596998557,42.71545210758926,0.35-0.5-1.5
2024-09-03,52.81099677719348,43.18166661583883,0.35-0.5-1.5
2024-09-04,52.37641228848659,43.797977659539505,0.35-0.5-1.5
2024-09-05,52.313398703684285,43.3720502928426,0.35-0.5-1.5
2024-09-06,52.562157147338226,43.471237042286376,0.35-0.5-1.5
2024-09-07,51.75429242289485,42.36274338129478,0.35-0.5-1.5
2024-09-08,52.00274088351759,42.65466199105251,0.35-0.5-1.5
2024-09-09,51.788193266227736,41.93052089419413,0.35-0.5-1.5
2024-09-10,52.18863889046531,42.24212842137521,0.35-0.5-1.5
2024-09-11,51.81700757170473,41.952650555417456,0.35-0.5-1.5
2024-09-12,52.69365878998128,42.31959534626105,0.35-0.5-1.5
2024-09-13,51.91721011090485,41.88631932727903,0.35-0.5-1.5
2024-09-14,52.82829627296236,42.324294495603375,0.35-0.5-1.5
2024-09-15,52.34550119591059,42.56522465616082,0.35-0.5-1.5
2024-09-16,52.54468531849567,42.357014017859896,0.35-0.5-1.5
2024-09-17,53.135188701464095,42.94250098234042,0.35-0.5-1.5
2024-09-18,52.89902492194325,43.05512538965881,0.35-0.5-1.5
2024-09-19,53.099225564645344,43.307478996149214,0.35-0.5-1.5
2024-09-20,52.88969394501886,43.059398380845266,0.35-0.5-1.5
2024-09-21,52.69515018299545,42.21375590797548,0.35-0.5-1.5
2024-09-22,53.520646956012925,42.114432896222674,0.35-0.5-1.5
2024-09-23,53.94200451291478,42.064272398571255,0.35-0.5-1.5
2024-09-24,53.654504018948,42.10849643451322,0.35-0.5-1.5
2024-09-25,53.25426253756827,42.06116765385912,0.35-0.5-1.5
2024-09-26,53.284363631693374,42.03744357544305,0.35-0.5-1.5
2024-09-27,53.17791676644062,41.91861578237835,0.35-0.5-1.5
2024-09-28,53.67367632545516,42.88899991025709,0.35-0.5-1.5
2024-09-29,53.495475442877684,43.201473737030675,0.35-0.5-1.5
2024-09-30,53.430966844558455,43.352738033061826,0.35-0.5-1.5
2024-10-01,53.192649619103044,43.31965292401547,0.35-0.5-1.5
2024-10-02,53.07109078266872,43.00450014319574,0.35-0.5-1.5
2024-10-03,52.6299849268505,42.970950044859435,0.35-0.5-1.5
2024-10-04,53.507132846932144,42.49233070599854,0.35-0.5-1.5
2024-10-05,52.789656042160985,42.84129369227765,0.35-0.5-1.5
