Date,Harris_avg,Trump_avg,Parameters
2024-07-02,,,0.35-0.5-1.5
2024-07-03,,,0.35-0.5-1.5
2024-07-04,,,0.35-0.5-1.5
2024-07-05,,,0.35-0.5-1.5
2024-07-06,,,0.35-0.5-1.5
2024-07-07,,,0.35-0.5-1.5
2024-07-08,,,0.35-0.5-1.5
2024-07-09,,,0.35-0.5-1.5
2024-07-10,,,0.35-0.5-1.5
2024-07-11,,,0.35-0.5-1.5
2024-07-12,,,0.35-0.5-1.5
2024-07-13,,,0.35-0.5-1.5
2024-07-14,,,0.35-0.5-1.5
2024-07-15,,,0.35-0.5-1.5
2024-07-16,,,0.35-0.5-1.5
2024-07-17,,,0.35-0.5-1.5
2024-07-18,,,0.35-0.5-1.5
2024-07-19,,,0.35-0.5-1.5
2024-07-20,,,0.35-0.5-1.5
2024-07-21,,,0.35-0.5-1.5
2024-07-22,,,0.35-0.5-1.5
2024-07-23,,,0.35-0.5-1.5
2024-07-24,,,0.35-0.5-1.5
2024-07-25,41.75152362640742,51.822392602859495,0.35-0.5-1.5
2024-07-26,41.77772567945297,51.89915123521367,0.35-0.5-1.5
2024-07-27,41.904809097752455,52.43425641304916,0.35-0.5-1.5
2024-07-28,42.33378791116095,52.033537313111864,0.35-0.5-1.5
2024-07-29,42.06628826332088,51.603225925009646,0.35-0.5-1.5
2024-07-30,41.90775693161656,50.83129578144184,0.35-0.5-1.5
2024-07-31,42.11155015379807,51.38242682986083,0.35-0.5-1.5
2024-08-01,41.95068774576643,51.13233602109029,0.35-0.5-1.5
2024-08-02,42.29002874300306,51.830533393478795,0.35-0.5-1.5
2024-08-03,42.51353194074606,50.832947438607405,0.35-0.5-1.5
2024-08-04,42.610010843675035,50.59089431251842,0.35-0.5-1.5
2024-08-05,42.76463504623656,50.22320988136212,0.35-0.5-1.5
2024-08-06,43.108053876785135,50.03387662069555,0.35-0.5-1.5
2024-08-07,43.04080839968139,50.257637923695754,0.35-0.5-1.5
2024-08-08,43.21653093873359,50.3002595763182,0.35-0.5-1.5
2024-08-09,43.068637529799936,50.071445882844785,0.35-0.5-1.5
2024-08-10,42.98934512921447,50.45563012962637,0.35-0.5-1.5
2024-08-11,42.99318243185108,50.09639578233287,0.35-0.5-1.5
2024-08-12,43.01955674177822,51.65924474920601,0.35-0.5-1.5
2024-08-13,43.199688219364376,51.691290673286574,0.35-0.5-1.5
2024-08-14,43.08191359574312,50.93067553258684,0.35-0.5-1.5
2024-08-15,43.45072370802971,50.93869799235777,0.35-0.5-1.5
2024-08-16,43.19432286477621,50.444742107653944,0.35-0.5-1.5
2024-08-17,43.00773202107224,50.106675537035315,0.35-0.5-1.5
2024-08-18,42.72317107841168,49.870363167206115,0.35-0.5-1.5
2024-08-19,42.962472987791074,50.57787412288192,0.35-0.5-1.5
2024-08-20,43.22522162474855,51.35532048473493,0.35-0.5-1.5
2024-08-21,42.68954507497898,49.990214342696724,0.35-0.5-1.5
2024-08-22,43.07219927333736,49.915865290534775,0.35-0.5-1.5
2024-08-23,43.13632803457865,49.66344677703473,0.35-0.5-1.5
2024-08-24,42.618658168994415,49.35418524659698,0.35-0.5-1.5
2024-08-25,42.935220329662165,49.36206437945837,0.35-0.5-1.5
2024-08-26,42.893181497629854,50.02074037389189,0.35-0.5-1.5
2024-08-27,43.41975205412141,50.91893440899102,0.35-0.5-1.5
2024-08-28,43.17377820648367,50.94246764959176,0.35-0.5-1.5
2024-08-29,43.15872569137774,51.62482892593902,0.35-0.5-1.5
2024-08-30,41.57637710767367,49.85168949346161,0.35-0.5-1.5
2024-08-31,42.66527615788666,50.61203806255328,0.35-0.5-1.5
2024-09-01,43.00996006267245,51.14856082935828,0.35-0.5-1.5
2024-09-02,43.21495825135995,51.21095092830008,0.35-0.5-1.5
2024-09-03,43.62795078795472,51.7687754010597,0.35-0.5-1.5
2024-09-04,43.67543646863365,52.734118682045306,0.35-0.5-1.5
2024-09-05,43.695403688238734,52.417248326542094,0.35-0.5-1.5
2024-09-06,43.81987149501458,52.36118003157684,0.35-0.5-1.5
2024-09-07,43.18563080938079,51.0789345064155,0.35-0.5-1.5
2024-09-08,43.29009074831316,51.25211465601425,0.35-0.5-1.5
2024-09-09,44.4269529512834,51.90254227839228,0.35-0.5-1.5
2024-09-10,44.20111632890732,51.6318951380312,0.35-0.5-1.5
2024-09-11,43.50248883847088,50.861661013017454,0.35-0.5-1.5
2024-09-12,43.9569058610801,51.015567163967944,0.35-0.5-1.5
2024-09-13,43.59022573415288,51.000975221723806,0.35-0.5-1.5
2024-09-14,43.92663649120925,51.1248345781468,0.35-0.5-1.5
2024-09-15,44.114308864506164,51.6104206270804,0.35-0.5-1.5
2024-09-16,43.96409374521021,51.03382487450759,0.35-0.5-1.5
2024-09-17,44.296909019144124,51.6476140280351,0.35-0.5-1.5
2024-09-18,43.97173128322736,51.69378708884098,0.35-0.5-1.5
2024-09-19,43.84602104385393,52.422808998945385,0.35-0.5-1.5
2024-09-20,43.75820117842777,51.89507942298641,0.35-0.5-1.5
2024-09-21,43.65022468994632,50.77176211735813,0.35-0.5-1.5
2024-09-22,44.14813082615831,50.8704262153818,0.35-0.5-1.5
2024-09-23,44.431500819934634,50.485578875452944,0.35-0.5-1.5
2024-09-24,44.409883474790774,50.32002368812033,0.35-0.5-1.5
