Date,Harris_avg,Trump_avg,Parameters
2024-07-02,,,0.35-0.5-1.5
2024-07-03,,,0.35-0.5-1.5
2024-07-04,,,0.35-0.5-1.5
2024-07-05,,,0.35-0.5-1.5
2024-07-06,,,0.35-0.5-1.5
2024-07-07,,,0.35-0.5-1.5
2024-07-08,,,0.35-0.5-1.5
2024-07-09,,,0.35-0.5-1.5
2024-07-10,,,0.35-0.5-1.5
2024-07-11,,,0.35-0.5-1.5
2024-07-12,,,0.35-0.5-1.5
2024-07-13,,,0.35-0.5-1.5
2024-07-14,,,0.35-0.5-1.5
2024-07-15,,,0.35-0.5-1.5
2024-07-16,,,0.35-0.5-1.5
2024-07-17,,,0.35-0.5-1.5
2024-07-18,,,0.35-0.5-1.5
2024-07-19,,,0.35-0.5-1.5
2024-07-20,,,0.35-0.5-1.5
2024-07-21,,,0.35-0.5-1.5
2024-07-22,,,0.35-0.5-1.5
2024-07-23,,,0.35-0.5-1.5
2024-07-24,,,0.35-0.5-1.5
2024-07-25,,,0.35-0.5-1.5
2024-07-26,,,0.35-0.5-1.5
2024-07-27,,,0.35-0.5-1.5
2024-07-28,,,0.35-0.5-1.5
2024-07-29,,,0.35-0.5-1.5
2024-07-30,,,0.35-0.5-1.5
2024-07-31,,,0.35-0.5-1.5
2024-08-01,,,0.35-0.5-1.5
2024-08-02,,,0.35-0.5-1.5
2024-08-03,,,0.35-0.5-1.5
2024-08-04,,,0.35-0.5-1.5
2024-08-05,,,0.35-0.5-1.5
2024-08-06,,,0.35-0.5-1.5
2024-08-07,,,0.35-0.5-1.5
2024-08-08,,,0.35-0.5-1.5
2024-08-09,,,0.35-0.5-1.5
2024-08-10,,,0.35-0.5-1.5
2024-08-11,,,0.35-0.5-1.5
2024-08-12,,,0.35-0.5-1.5
2024-08-13,,,0.35-0.5-1.5
2024-08-14,,,0.35-0.5-1.5
2024-08-15,,,0.35-0.5-1.5
2024-08-16,,,0.35-0.5-1.5
2024-08-17,,,0.35-0.5-1.5
2024-08-18,,,0.35-0.5-1.5
2024-08-19,,,0.35-0.5-1.5
2024-08-20,,,0.35-0.5-1.5
2024-08-21,,,0.35-0.5-1.5
2024-08-22,,,0.35-0.5-1.5
2024-08-23,,,0.35-0.5-1.5
2024-08-24,,,0.35-0.5-1.5
2024-08-25,,,0.35-0.5-1.5
2024-08-26,,,0.35-0.5-1.5
2024-08-27,36.23988817865628,58.710901616690656,0.35-0.5-1.5
2024-08-28,34.412847128648394,60.04766711352299,0.35-0.5-1.5
2024-08-29,32.92382313186936,61.74472291795004,0.35-0.5-1.5
2024-08-30,30.989708880713525,60.85217751190738,0.35-0.5-1.5
2024-08-31,30.7943834779569,61.48763084567048,0.35-0.5-1.5
2024-09-01,30.614650538376292,62.77621971167776,0.35-0.5-1.5
2024-09-02,30.4723131659647,63.15423011858919,0.35-0.5-1.5
2024-09-03,30.639189293584035,63.9505860348325,0.35-0.5-1.5
2024-09-04,30.28413856159898,64.93265702699173,0.35-0.5-1.5
2024-09-05,30.176126182775054,64.36803395349638,0.35-0.5-1.5
2024-09-06,30.271498277536494,64.54799432036393,0.35-0.5-1.5
2024-09-07,29.781138948625824,62.93153471674761,0.35-0.5-1.5
2024-09-08,29.903876745903382,63.37348268254707,0.35-0.5-1.5
2024-09-09,30.268358766196645,63.5964871638354,0.35-0.5-1.5
2024-09-10,30.331636849137755,63.59899073086752,0.35-0.5-1.5
2024-09-11,29.948686290766805,62.74314018005879,0.35-0.5-1.5
2024-09-12,30.414543087084766,63.13525170489139,0.35-0.5-1.5
2024-09-13,29.889488985143693,62.34018579723634,0.35-0.5-1.5
2024-09-14,30.400980707048934,62.95584070144036,0.35-0.5-1.5
2024-09-15,30.611031091578997,63.844983267509015,0.35-0.5-1.5
2024-09-16,30.510537538415523,63.14092945202094,0.35-0.5-1.5
2024-09-17,30.760131798576825,64.0240749852951,0.35-0.5-1.5
2024-09-18,30.521237194531274,64.11873972668374,0.35-0.5-1.5
2024-09-19,30.591354486438544,64.46084928066819,0.35-0.5-1.5
2024-09-20,30.43383472068634,64.04266925570752,0.35-0.5-1.5
2024-09-21,30.300320521281893,62.740976262084246,0.35-0.5-1.5
2024-09-22,30.76932624282346,62.58888121849823,0.35-0.5-1.5
2024-09-23,31.003827513022575,62.51283220434755,0.35-0.5-1.5
2024-09-24,30.8308252860628,62.57861327686934,0.35-0.5-1.5
2024-09-25,30.595936174655048,62.50769671435375,0.35-0.5-1.5
2024-09-26,30.61087140257018,62.472237914632515,0.35-0.5-1.5
2024-09-27,30.548067370451026,62.295328663598646,0.35-0.5-1.5
2024-09-28,30.832130089476706,63.73892419541372,0.35-0.5-1.5
2024-09-29,30.72896725256687,64.20313234451572,0.35-0.5-1.5
2024-09-30,30.691441695067642,64.42761638619254,0.35-0.5-1.5
2024-10-01,31.45129713810227,64.7437030808085,0.35-0.5-1.5
2024-10-02,31.066098825651828,64.24955754931099,0.35-0.5-1.5
2024-10-03,30.630204524483872,64.09291054625118,0.35-0.5-1.5
2024-10-04,30.956456989918046,63.35122915833913,0.35-0.5-1.5
2024-10-05,30.484165004960687,63.77569977972229,0.35-0.5-1.5
2024-10-06,30.581127091158766,64.48068394464146,0.35-0.5-1.5
2024-10-07,30.523833927486503,64.37644077063999,0.35-0.5-1.5
2024-10-08,30.583518575965815,64.34811638950112,0.35-0.5-1.5
