Date,Harris_avg,Trump_avg,Parameters
2024-07-02,,,0.35-0.5-1.5
2024-07-03,,,0.35-0.5-1.5
2024-07-04,,,0.35-0.5-1.5
2024-07-05,,,0.35-0.5-1.5
2024-07-06,,,0.35-0.5-1.5
2024-07-07,,,0.35-0.5-1.5
2024-07-08,,,0.35-0.5-1.5
2024-07-09,,,0.35-0.5-1.5
2024-07-10,,,0.35-0.5-1.5
2024-07-11,,,0.35-0.5-1.5
2024-07-12,,,0.35-0.5-1.5
2024-07-13,,,0.35-0.5-1.5
2024-07-14,,,0.35-0.5-1.5
2024-07-15,,,0.35-0.5-1.5
2024-07-16,,,0.35-0.5-1.5
2024-07-17,,,0.35-0.5-1.5
2024-07-18,,,0.35-0.5-1.5
2024-07-19,,,0.35-0.5-1.5
2024-07-20,,,0.35-0.5-1.5
2024-07-21,,,0.35-0.5-1.5
2024-07-22,,,0.35-0.5-1.5
2024-07-23,,,0.35-0.5-1.5
2024-07-24,,,0.35-0.5-1.5
2024-07-25,50.21164221758926,42.79734919078595,0.35-0.5-1.5
2024-07-26,50.93350602588998,42.316395078204245,0.35-0.5-1.5
2024-07-27,51.677943095737824,42.29050463596185,0.35-0.5-1.5
2024-07-28,52.64590357686404,41.6647533634714,0.35-0.5-1.5
2024-07-29,52.59733641571792,41.13025749549689,0.35-0.5-1.5
2024-07-30,52.5887928690118,40.40194463206903,0.35-0.5-1.5
2024-07-31,52.972531529621385,40.76854797427719,0.35-0.5-1.5
2024-08-01,52.85225337164195,40.52964536997729,0.35-0.5-1.5
2024-08-02,53.335722352011906,41.05854733584844,0.35-0.5-1.5
2024-08-03,53.65417980713198,40.255206093610276,0.35-0.5-1.5
2024-08-04,53.79985975029995,40.055888244538764,0.35-0.5-1.5
2024-08-05,54.0109399043135,39.76057176564121,0.35-0.5-1.5
2024-08-06,54.45527015086264,39.608415386391435,0.35-0.5-1.5
2024-08-07,54.377129148567874,39.784378168562164,0.35-0.5-1.5
2024-08-08,54.60370284943351,39.817564256729426,0.35-0.5-1.5
2024-08-09,54.41979126499647,39.63620919029183,0.35-0.5-1.5
2024-08-10,54.32155742653906,39.94026827011397,0.35-0.5-1.5
2024-08-11,54.327705191848956,39.655915555554536,0.35-0.5-1.5
2024-08-12,54.0673711296658,39.725218239243674,0.35-0.5-1.5
2024-08-13,54.45677114054799,40.24290035714014,0.35-0.5-1.5
2024-08-14,54.344035788294995,39.845363927280566,0.35-0.5-1.5
2024-08-15,54.8845744007258,40.040708277566985,0.35-0.5-1.5
2024-08-16,54.55603499726823,39.74261599700604,0.35-0.5-1.5
2024-08-17,54.324851699567716,39.54050118238591,0.35-0.5-1.5
2024-08-18,53.967781065123404,39.39744843412617,0.35-0.5-1.5
2024-08-19,54.28214330142266,39.995014443165275,0.35-0.5-1.5
2024-08-20,54.62055441253713,40.63177429565997,0.35-0.5-1.5
2024-08-21,53.94138369113712,39.55383322841288,0.35-0.5-1.5
2024-08-22,54.428563555260325,39.5018229865703,0.35-0.5-1.5
2024-08-23,54.51042835705168,39.305994796569955,0.35-0.5-1.5
2024-08-24,53.85563464126535,39.06372354277547,0.35-0.5-1.5
2024-08-25,54.25654948249226,39.071876722026886,0.35-0.5-1.5
2024-08-26,54.20357466548718,39.59477966124969,0.35-0.5-1.5
2024-08-27,54.869377066073405,40.306687989881915,0.35-0.5-1.5
2024-08-28,54.558440309600584,40.32560334901674,0.35-0.5-1.5
2024-08-29,54.53942404238667,40.86601485640039,0.35-0.5-1.5
2024-08-30,52.5396084574903,39.46231532072701,0.35-0.5-1.5
2024-08-31,53.75275020550517,39.62818373774108,0.35-0.5-1.5
2024-09-01,54.324274623866025,40.3394239980057,0.35-0.5-1.5
2024-09-02,54.60480231480632,40.461080307073544,0.35-0.5-1.5
2024-09-03,55.25966395177963,40.90400008610388,0.35-0.5-1.5
2024-09-04,54.80256825315755,41.48810942314499,0.35-0.5-1.5
2024-09-05,54.73563355283723,41.083236881681245,0.35-0.5-1.5
2024-09-06,54.99540893434,41.1766192884338,0.35-0.5-1.5
2024-09-07,54.14920490300686,40.12566328285497,0.35-0.5-1.5
2024-09-08,54.40895188298842,40.40201380603581,0.35-0.5-1.5
2024-09-09,55.09666923901373,40.5401890675305,0.35-0.5-1.5
2024-09-10,55.225515963947736,40.53901668192948,0.35-0.5-1.5
2024-09-11,54.535625096951996,39.991242070843555,0.35-0.5-1.5
2024-09-12,55.39041598357697,40.24052631624477,0.35-0.5-1.5
2024-09-13,54.43694312073831,39.733009085372196,0.35-0.5-1.5
2024-09-14,55.371190242985676,40.12527872936626,0.35-0.5-1.5
2024-09-15,55.75522235198846,40.69190923861386,0.35-0.5-1.5
2024-09-16,55.57298162479882,40.24298064937222,0.35-0.5-1.5
2024-09-17,56.028185508913516,40.805837023043935,0.35-0.5-1.5
2024-09-18,55.59334342989662,40.8661223861403,0.35-0.5-1.5
2024-09-19,55.72127858221214,41.08414179397991,0.35-0.5-1.5
2024-09-20,55.434485372690695,40.817587712517245,0.35-0.5-1.5
2024-09-21,55.191374111036225,39.987931734158444,0.35-0.5-1.5
2024-09-22,56.04572422150761,39.89099189708258,0.35-0.5-1.5
2024-09-23,56.472899276748,39.84252197854332,0.35-0.5-1.5
2024-09-24,56.15779661896006,39.88444833382604,0.35-0.5-1.5
