Date,Harris_avg,Trump_avg,Parameters
2024-07-02,,,0.35-0.5-1.5
2024-07-03,,,0.35-0.5-1.5
2024-07-04,,,0.35-0.5-1.5
2024-07-05,,,0.35-0.5-1.5
2024-07-06,,,0.35-0.5-1.5
2024-07-07,,,0.35-0.5-1.5
2024-07-08,,,0.35-0.5-1.5
2024-07-09,,,0.35-0.5-1.5
2024-07-10,45.709337054391646,48.4410748379328,0.35-0.5-1.5
2024-07-11,45.04310975978082,49.233961813112835,0.35-0.5-1.5
2024-07-12,43.76513298903052,48.83534756235296,0.35-0.5-1.5
2024-07-13,42.39325734158529,47.8728812033519,0.35-0.5-1.5
2024-07-14,43.85422732509173,50.04045318025699,0.35-0.5-1.5
2024-07-15,42.26062505303278,47.706036394576884,0.35-0.5-1.5
2024-07-16,42.64027032349292,48.12066941681716,0.35-0.5-1.5
2024-07-17,43.740815058018406,50.15240086923968,0.35-0.5-1.5
2024-07-18,44.320318526126755,51.19898414788943,0.35-0.5-1.5
2024-07-19,44.54324042615245,51.598811464059,0.35-0.5-1.5
2024-07-20,44.63986830629723,51.04143477252546,0.35-0.5-1.5
2024-07-21,44.29217680038789,49.625880334406176,0.35-0.5-1.5
2024-07-22,45.17133271875828,48.90978028308092,0.35-0.5-1.5
2024-07-23,46.41753409489961,48.92453482055327,0.35-0.5-1.5
2024-07-24,46.74331014742174,48.10651514701361,0.35-0.5-1.5
2024-07-25,46.35822891286034,47.628528053025306,0.35-0.5-1.5
2024-07-26,46.456903047015075,47.77463524918625,0.35-0.5-1.5
2024-07-27,46.42789400975185,48.03491242889713,0.35-0.5-1.5
2024-07-28,46.72014528470211,47.824638373899255,0.35-0.5-1.5
2024-07-29,46.78937539975162,47.640804058705456,0.35-0.5-1.5
2024-07-30,46.92425984510686,47.35653703395718,0.35-0.5-1.5
2024-07-31,46.77741174289612,47.53216717541413,0.35-0.5-1.5
2024-08-01,46.409514390323594,47.28827693453947,0.35-0.5-1.5
2024-08-02,46.56741502038508,47.78084372873578,0.35-0.5-1.5
2024-08-03,46.718189986753124,46.94033798640764,0.35-0.5-1.5
2024-08-04,46.67955917726541,47.05106772228745,0.35-0.5-1.5
2024-08-05,46.946373457271235,46.566537167825395,0.35-0.5-1.5
2024-08-06,47.396485864389604,46.25065945966429,0.35-0.5-1.5
2024-08-07,47.71472517781287,46.40805780818863,0.35-0.5-1.5
2024-08-08,47.80361915000338,46.28943162163879,0.35-0.5-1.5
2024-08-09,47.95901206081997,45.90563435175973,0.35-0.5-1.5
2024-08-10,48.32291899467086,46.38807073260375,0.35-0.5-1.5
2024-08-11,48.6425889983,47.177054602672435,0.35-0.5-1.5
2024-08-12,48.12579858329008,47.276009795767266,0.35-0.5-1.5
2024-08-13,48.6077285719133,48.112103785243725,0.35-0.5-1.5
2024-08-14,48.13082266389297,47.41132897720645,0.35-0.5-1.5
2024-08-15,47.98210955783945,47.03090830118455,0.35-0.5-1.5
2024-08-16,47.63853777888797,46.56644649508585,0.35-0.5-1.5
2024-08-17,47.63572492232959,46.559572691693944,0.35-0.5-1.5
2024-08-18,47.01872648234003,46.411178053649465,0.35-0.5-1.5
2024-08-19,46.03546566592554,45.57188996758232,0.35-0.5-1.5
2024-08-20,46.36629075232153,46.4828942749287,0.35-0.5-1.5
2024-08-21,46.51111813659358,46.24463728278759,0.35-0.5-1.5
2024-08-22,47.05110386984807,46.249512083988094,0.35-0.5-1.5
2024-08-23,47.08791220680669,46.36928714075053,0.35-0.5-1.5
2024-08-24,47.829324114562276,46.41957078914179,0.35-0.5-1.5
2024-08-25,47.98225100024638,46.323549229910086,0.35-0.5-1.5
2024-08-26,48.199236971738884,47.273112201667786,0.35-0.5-1.5
2024-08-27,48.215718219809084,47.55513401582436,0.35-0.5-1.5
2024-08-28,48.20049024628578,47.84061745058209,0.35-0.5-1.5
2024-08-29,47.22448214343683,47.790361339379125,0.35-0.5-1.5
2024-08-30,45.919366007787474,46.58683791113494,0.35-0.5-1.5
2024-08-31,46.656051317925446,46.55089671263465,0.35-0.5-1.5
2024-09-01,47.167237383716056,47.16007105763814,0.35-0.5-1.5
2024-09-02,47.43047734970941,47.63215453566949,0.35-0.5-1.5
2024-09-03,48.18350349505483,47.55639049191582,0.35-0.5-1.5
2024-09-04,48.450572825716385,48.53419976495685,0.35-0.5-1.5
2024-09-05,47.58997726745318,48.137685777293136,0.35-0.5-1.5
2024-09-06,47.65277697179336,48.102445154277,0.35-0.5-1.5
2024-09-07,47.30145299609657,47.186677177835975,0.35-0.5-1.5
2024-09-08,47.560979116358396,47.33056613248625,0.35-0.5-1.5
2024-09-09,48.583386804522135,47.83436349054382,0.35-0.5-1.5
2024-09-10,48.535394955060234,47.5756243272741,0.35-0.5-1.5
2024-09-11,47.86168487355573,46.842982663883205,0.35-0.5-1.5
2024-09-12,48.367703434770725,46.954270772033226,0.35-0.5-1.5
2024-09-13,48.18408331436431,46.5648425071393,0.35-0.5-1.5
2024-09-14,48.7801129324301,47.134528879307496,0.35-0.5-1.5
2024-09-15,49.67018600224195,47.3536381444293,0.35-0.5-1.5
2024-09-16,49.36627726820202,47.670674252174976,0.35-0.5-1.5
2024-09-17,48.93995872567618,47.890075897308314,0.35-0.5-1.5
2024-09-18,48.38089075161216,47.743853530415336,0.35-0.5-1.5
