Date,Harris_avg,Trump_avg,Parameters
2024-07-02,,,0.35-0.5-1.5
2024-07-03,,,0.35-0.5-1.5
2024-07-04,,,0.35-0.5-1.5
2024-07-05,,,0.35-0.5-1.5
2024-07-06,,,0.35-0.5-1.5
2024-07-07,,,0.35-0.5-1.5
2024-07-08,,,0.35-0.5-1.5
2024-07-09,,,0.35-0.5-1.5
2024-07-10,,,0.35-0.5-1.5
2024-07-11,,,0.35-0.5-1.5
2024-07-12,,,0.35-0.5-1.5
2024-07-13,,,0.35-0.5-1.5
2024-07-14,,,0.35-0.5-1.5
2024-07-15,,,0.35-0.5-1.5
2024-07-16,,,0.35-0.5-1.5
2024-07-17,,,0.35-0.5-1.5
2024-07-18,,,0.35-0.5-1.5
2024-07-19,,,0.35-0.5-1.5
2024-07-20,,,0.35-0.5-1.5
2024-07-21,,,0.35-0.5-1.5
2024-07-22,,,0.35-0.5-1.5
2024-07-23,,,0.35-0.5-1.5
2024-07-24,,,0.35-0.5-1.5
2024-07-25,,,0.35-0.5-1.5
2024-07-26,,,0.35-0.5-1.5
2024-07-27,,,0.35-0.5-1.5
2024-07-28,,,0.35-0.5-1.5
2024-07-29,,,0.35-0.5-1.5
2024-07-30,,,0.35-0.5-1.5
2024-07-31,,,0.35-0.5-1.5
2024-08-01,,,0.35-0.5-1.5
2024-08-02,,,0.35-0.5-1.5
2024-08-03,,,0.35-0.5-1.5
2024-08-04,,,0.35-0.5-1.5
2024-08-05,,,0.35-0.5-1.5
2024-08-06,,,0.35-0.5-1.5
2024-08-07,,,0.35-0.5-1.5
2024-08-08,,,0.35-0.5-1.5
2024-08-09,,,0.35-0.5-1.5
2024-08-10,,,0.35-0.5-1.5
2024-08-11,,,0.35-0.5-1.5
2024-08-12,,,0.35-0.5-1.5
2024-08-13,,,0.35-0.5-1.5
2024-08-14,,,0.35-0.5-1.5
2024-08-15,,,0.35-0.5-1.5
2024-08-16,,,0.35-0.5-1.5
2024-08-17,,,0.35-0.5-1.5
2024-08-18,,,0.35-0.5-1.5
2024-08-19,,,0.35-0.5-1.5
2024-08-20,,,0.35-0.5-1.5
2024-08-21,,,0.35-0.5-1.5
2024-08-22,,,0.35-0.5-1.5
2024-08-23,,,0.35-0.5-1.5
2024-08-24,,,0.35-0.5-1.5
2024-08-25,,,0.35-0.5-1.5
2024-08-26,,,0.35-0.5-1.5
2024-08-27,,,0.35-0.5-1.5
2024-08-28,,,0.35-0.5-1.5
2024-08-29,,,0.35-0.5-1.5
2024-08-30,,,0.35-0.5-1.5
2024-08-31,,,0.35-0.5-1.5
2024-09-01,,,0.35-0.5-1.5
2024-09-02,,,0.35-0.5-1.5
2024-09-03,,,0.35-0.5-1.5
2024-09-04,,,0.35-0.5-1.5
2024-09-05,,,0.35-0.5-1.5
2024-09-06,,,0.35-0.5-1.5
2024-09-07,,,0.35-0.5-1.5
2024-09-08,,,0.35-0.5-1.5
2024-09-09,,,0.35-0.5-1.5
2024-09-10,,,0.35-0.5-1.5
2024-09-11,,,0.35-0.5-1.5
2024-09-12,,,0.35-0.5-1.5
2024-09-13,,,0.35-0.5-1.5
2024-09-14,,,0.35-0.5-1.5
2024-09-15,56.86027890596644,41.259389276779764,0.35-0.5-1.5
2024-09-16,56.852736574476864,39.8447822668113,0.35-0.5-1.5
2024-09-17,57.28280212212559,39.21037351141635,0.35-0.5-1.5
2024-09-18,55.95937500949351,38.92731241098353,0.35-0.5-1.5
2024-09-19,56.58959406270134,38.72292102520525,0.35-0.5-1.5
2024-09-20,56.86897119415675,38.4489416559165,0.35-0.5-1.5
2024-09-21,57.01285562518324,37.749079152802125,0.35-0.5-1.5
2024-09-22,58.07342952707128,37.6358882060117,0.35-0.5-1.5
2024-09-23,58.68102499120705,37.57608239565472,0.35-0.5-1.5
2024-09-24,58.49138245628611,37.604348134461596,0.35-0.5-1.5
2024-09-25,58.13360415312783,37.557271384416495,0.35-0.5-1.5
2024-09-26,58.20997251455443,37.53260775287916,0.35-0.5-1.5
2024-09-27,58.12299642514287,37.42489736268466,0.35-0.5-1.5
2024-09-28,58.68083336119315,38.28490313846505,0.35-0.5-1.5
2024-09-29,58.49931289572132,38.56325069108974,0.35-0.5-1.5
2024-09-30,58.43697393033749,38.698524053469875,0.35-0.5-1.5
2024-10-01,58.18181954282304,38.66947628366513,0.35-0.5-1.5
2024-10-02,58.05220809616135,38.38867580336282,0.35-0.5-1.5
2024-10-03,57.5720040930641,38.35883456229434,0.35-0.5-1.5
2024-10-04,58.532460187233625,37.93179889918453,0.35-0.5-1.5
2024-10-05,57.748694111174785,38.24320941502315,0.35-0.5-1.5
2024-10-06,58.0514554315981,38.70291487010743,0.35-0.5-1.5
2024-10-07,58.009003296852136,38.64951846370534,0.35-0.5-1.5
2024-10-08,58.16857054958685,38.63939658009267,0.35-0.5-1.5
2024-10-09,58.67773274689984,38.89740440151209,0.35-0.5-1.5
2024-10-10,58.836806600177006,39.33306179716985,0.35-0.5-1.5
2024-10-11,58.5825680657526,38.931865742728824,0.35-0.5-1.5
2024-10-12,57.61443943805423,38.77320675095272,0.35-0.5-1.5
2024-10-13,58.26849417978044,38.78336386264438,0.35-0.5-1.5
2024-10-14,57.92909218221491,39.22723749325534,0.35-0.5-1.5
2024-10-15,57.66689890946444,39.23582184464501,0.35-0.5-1.5
