Date,Harris_avg,Trump_avg,Parameters
2024-07-02,,,0.35-0.5-1.5
2024-07-03,,,0.35-0.5-1.5
2024-07-04,,,0.35-0.5-1.5
2024-07-05,,,0.35-0.5-1.5
2024-07-06,,,0.35-0.5-1.5
2024-07-07,,,0.35-0.5-1.5
2024-07-08,,,0.35-0.5-1.5
2024-07-09,,,0.35-0.5-1.5
2024-07-10,,,0.35-0.5-1.5
2024-07-11,,,0.35-0.5-1.5
2024-07-12,,,0.35-0.5-1.5
2024-07-13,,,0.35-0.5-1.5
2024-07-14,,,0.35-0.5-1.5
2024-07-15,,,0.35-0.5-1.5
2024-07-16,,,0.35-0.5-1.5
2024-07-17,,,0.35-0.5-1.5
2024-07-18,,,0.35-0.5-1.5
2024-07-19,,,0.35-0.5-1.5
2024-07-20,,,0.35-0.5-1.5
2024-07-21,,,0.35-0.5-1.5
2024-07-22,,,0.35-0.5-1.5
2024-07-23,,,0.35-0.5-1.5
2024-07-24,,,0.35-0.5-1.5
2024-07-25,,,0.35-0.5-1.5
2024-07-26,,,0.35-0.5-1.5
2024-07-27,,,0.35-0.5-1.5
2024-07-28,,,0.35-0.5-1.5
2024-07-29,,,0.35-0.5-1.5
2024-07-30,,,0.35-0.5-1.5
2024-07-31,,,0.35-0.5-1.5
2024-08-01,,,0.35-0.5-1.5
2024-08-02,,,0.35-0.5-1.5
2024-08-03,,,0.35-0.5-1.5
2024-08-04,,,0.35-0.5-1.5
2024-08-05,,,0.35-0.5-1.5
2024-08-06,,,0.35-0.5-1.5
2024-08-07,,,0.35-0.5-1.5
2024-08-08,,,0.35-0.5-1.5
2024-08-09,,,0.35-0.5-1.5
2024-08-10,,,0.35-0.5-1.5
2024-08-11,,,0.35-0.5-1.5
2024-08-12,,,0.35-0.5-1.5
2024-08-13,,,0.35-0.5-1.5
2024-08-14,,,0.35-0.5-1.5
2024-08-15,,,0.35-0.5-1.5
2024-08-16,,,0.35-0.5-1.5
2024-08-17,,,0.35-0.5-1.5
2024-08-18,,,0.35-0.5-1.5
2024-08-19,,,0.35-0.5-1.5
2024-08-20,,,0.35-0.5-1.5
2024-08-21,,,0.35-0.5-1.5
2024-08-22,,,0.35-0.5-1.5
2024-08-23,,,0.35-0.5-1.5
2024-08-24,,,0.35-0.5-1.5
2024-08-25,,,0.35-0.5-1.5
2024-08-26,,,0.35-0.5-1.5
2024-08-27,,,0.35-0.5-1.5
2024-08-28,,,0.35-0.5-1.5
2024-08-29,,,0.35-0.5-1.5
2024-08-30,,,0.35-0.5-1.5
2024-08-31,,,0.35-0.5-1.5
2024-09-01,,,0.35-0.5-1.5
2024-09-02,,,0.35-0.5-1.5
2024-09-03,,,0.35-0.5-1.5
2024-09-04,,,0.35-0.5-1.5
2024-09-05,,,0.35-0.5-1.5
2024-09-06,,,0.35-0.5-1.5
2024-09-07,,,0.35-0.5-1.5
2024-09-08,,,0.35-0.5-1.5
2024-09-09,,,0.35-0.5-1.5
2024-09-10,,,0.35-0.5-1.5
2024-09-11,,,0.35-0.5-1.5
2024-09-12,,,0.35-0.5-1.5
2024-09-13,,,0.35-0.5-1.5
2024-09-14,,,0.35-0.5-1.5
2024-09-15,,,0.35-0.5-1.5
2024-09-16,,,0.35-0.5-1.5
2024-09-17,,,0.35-0.5-1.5
2024-09-18,,,0.35-0.5-1.5
2024-09-19,,,0.35-0.5-1.5
2024-09-20,,,0.35-0.5-1.5
2024-09-21,,,0.35-0.5-1.5
2024-09-22,,,0.35-0.5-1.5
2024-09-23,,,0.35-0.5-1.5
2024-09-24,,,0.35-0.5-1.5
2024-09-25,,,0.35-0.5-1.5
2024-09-26,,,0.35-0.5-1.5
2024-09-27,,,0.35-0.5-1.5
2024-09-28,,,0.35-0.5-1.5
2024-09-29,,,0.35-0.5-1.5
2024-09-30,,,0.35-0.5-1.5
2024-10-01,,,0.35-0.5-1.5
2024-10-02,,,0.35-0.5-1.5
2024-10-03,,,0.35-0.5-1.5
2024-10-04,,,0.35-0.5-1.5
2024-10-05,,,0.35-0.5-1.5
2024-10-06,,,0.35-0.5-1.5
2024-10-07,,,0.35-0.5-1.5
2024-10-08,,,0.35-0.5-1.5
2024-10-09,,,0.35-0.5-1.5
2024-10-10,,,0.35-0.5-1.5
2024-10-11,,,0.35-0.5-1.5
2024-10-12,,,0.35-0.5-1.5
2024-10-13,,,0.35-0.5-1.5
2024-10-14,33.413405278305014,60.05169384947297,0.35-0.5-1.5
2024-10-15,33.65218921494905,60.65914345430366,0.35-0.5-1.5
2024-10-16,33.93741081040761,61.14674744469872,0.35-0.5-1.5
2024-10-17,33.85230624787468,61.23002224408653,0.35-0.5-1.5
2024-10-18,33.13442362760734,59.831977313547135,0.35-0.5-1.5
2024-10-19,33.37551940028511,60.20096978966222,0.35-0.5-1.5
2024-10-20,34.16299725274271,60.3891931763501,0.35-0.5-1.5
2024-10-21,34.04309397866939,61.53340528264297,0.35-0.5-1.5
2024-10-22,33.8703255505029,61.532273256081965,0.35-0.5-1.5
2024-10-23,33.91774904589012,61.57425857204407,0.35-0.5-1.5
2024-10-24,34.01125133313645,61.78229751492968,0.35-0.5-1.5
2024-10-25,33.96553492385089,61.548065105676514,0.35-0.5-1.5
2024-10-26,33.13115969544786,60.672189202576114,0.35-0.5-1.5
2024-10-27,33.08145093563644,62.28911695352724,0.35-0.5-1.5
