Date,Harris_avg,Trump_avg,Parameters
2024-07-02,,,0.35-0.5-1.5
2024-07-03,,,0.35-0.5-1.5
2024-07-04,,,0.35-0.5-1.5
2024-07-05,,,0.35-0.5-1.5
2024-07-06,,,0.35-0.5-1.5
2024-07-07,,,0.35-0.5-1.5
2024-07-08,,,0.35-0.5-1.5
2024-07-09,,,0.35-0.5-1.5
2024-07-10,,,0.35-0.5-1.5
2024-07-11,,,0.35-0.5-1.5
2024-07-12,,,0.35-0.5-1.5
2024-07-13,,,0.35-0.5-1.5
2024-07-14,,,0.35-0.5-1.5
2024-07-15,,,0.35-0.5-1.5
2024-07-16,,,0.35-0.5-1.5
2024-07-17,,,0.35-0.5-1.5
2024-07-18,,,0.35-0.5-1.5
2024-07-19,,,0.35-0.5-1.5
2024-07-20,,,0.35-0.5-1.5
2024-07-21,,,0.35-0.5-1.5
2024-07-22,,,0.35-0.5-1.5
2024-07-23,,,0.35-0.5-1.5
2024-07-24,,,0.35-0.5-1.5
2024-07-25,,,0.35-0.5-1.5
2024-07-26,,,0.35-0.5-1.5
2024-07-27,,,0.35-0.5-1.5
2024-07-28,,,0.35-0.5-1.5
2024-07-29,,,0.35-0.5-1.5
2024-07-30,,,0.35-0.5-1.5
2024-07-31,,,0.35-0.5-1.5
2024-08-01,,,0.35-0.5-1.5
2024-08-02,,,0.35-0.5-1.5
2024-08-03,,,0.35-0.5-1.5
2024-08-04,,,0.35-0.5-1.5
2024-08-05,,,0.35-0.5-1.5
2024-08-06,45.496867338192416,51.940456117865864,0.35-0.5-1.5
2024-08-07,44.86165836887338,51.37134820413906,0.35-0.5-1.5
2024-08-08,44.476675603492744,50.86085779844453,0.35-0.5-1.5
2024-08-09,44.022300671285315,50.314899270676335,0.35-0.5-1.5
2024-08-10,43.72832779440854,50.40408501178382,0.35-0.5-1.5
2024-08-11,43.589457187283,49.94835544575647,0.35-0.5-1.5
2024-08-12,43.305315463385575,49.94472083227972,0.35-0.5-1.5
2024-08-13,43.54798468015191,50.52284638123953,0.35-0.5-1.5
2024-08-14,43.42902696773666,50.015649652607294,0.35-0.5-1.5
2024-08-15,43.834763154006964,50.242521917391564,0.35-0.5-1.5
2024-08-16,43.56562068655505,49.86546750580048,0.35-0.5-1.5
2024-08-17,43.37585070263837,49.60886340808772,0.35-0.5-1.5
2024-08-18,43.08781902458188,49.42719733744398,0.35-0.5-1.5
2024-08-19,43.335264128426786,50.17312254301122,0.35-0.5-1.5
2024-08-20,43.603498956971194,50.97039385739209,0.35-0.5-1.5
2024-08-21,43.346916093883706,49.53499615189487,0.35-0.5-1.5
2024-08-22,44.017741473267634,50.51133431600141,0.35-0.5-1.5
2024-08-23,43.92612560053737,50.22240738329151,0.35-0.5-1.5
2024-08-24,43.34309582549909,49.624981187943916,0.35-0.5-1.5
2024-08-25,43.481499619517336,49.34231666936181,0.35-0.5-1.5
2024-08-26,43.364442964458505,49.768983482414,0.35-0.5-1.5
2024-08-27,43.94262434249879,50.389429961219335,0.35-0.5-1.5
2024-08-28,43.659895747592266,50.41039323533588,0.35-0.5-1.5
2024-08-29,43.59242966368866,51.070158625004545,0.35-0.5-1.5
2024-08-30,42.10061045024262,49.54332839089481,0.35-0.5-1.5
2024-08-31,42.955601931644075,49.74346940649903,0.35-0.5-1.5
2024-09-01,43.37661846426739,50.606369730422045,0.35-0.5-1.5
2024-09-02,43.58972643292067,50.76383368053248,0.35-0.5-1.5
2024-09-03,43.95074553657596,51.32878045924045,0.35-0.5-1.5
2024-09-04,44.584282679451675,51.6667434244752,0.35-0.5-1.5
2024-09-05,44.548330103206624,51.37294311949742,0.35-0.5-1.5
2024-09-06,44.490144052081256,51.49562604411856,0.35-0.5-1.5
2024-09-07,43.694776923557626,50.370967211834675,0.35-0.5-1.5
2024-09-08,43.713752508446305,50.667836736510644,0.35-0.5-1.5
2024-09-09,44.12825497914336,50.83110483139279,0.35-0.5-1.5
2024-09-10,44.169723065974246,50.83437238999095,0.35-0.5-1.5
2024-09-11,43.59597910478747,50.166187156331596,0.35-0.5-1.5
2024-09-12,44.24427730661586,50.47378853758593,0.35-0.5-1.5
2024-09-13,44.130110201178674,49.814073211400036,0.35-0.5-1.5
2024-09-14,44.48908588552878,50.422749172875136,0.35-0.5-1.5
2024-09-15,44.968949163251914,51.59557237971467,0.35-0.5-1.5
2024-09-16,44.7068368605039,51.15862693452654,0.35-0.5-1.5
2024-09-17,44.904640079791655,51.55790941244549,0.35-0.5-1.5
2024-09-18,44.539240050501895,51.49642238653304,0.35-0.5-1.5
2024-09-19,44.58535329498971,51.66294013374116,0.35-0.5-1.5
2024-09-20,44.3342228694366,51.29151802790995,0.35-0.5-1.5
2024-09-21,44.119826337202845,50.24305368285835,0.35-0.5-1.5
2024-09-22,44.770164558159486,50.092079007455716,0.35-0.5-1.5
2024-09-23,45.47918143733415,50.66470554825858,0.35-0.5-1.5
2024-09-24,45.113262736092054,50.393528624367804,0.35-0.5-1.5
2024-09-25,45.11810022428376,50.54595303382331,0.35-0.5-1.5
2024-09-26,45.262095430411236,51.03906122438366,0.35-0.5-1.5
2024-09-27,44.87676321638323,50.614120253705046,0.35-0.5-1.5
2024-09-28,44.9772331178891,51.19439191365824,0.35-0.5-1.5
2024-09-29,44.74685393656824,51.37496271113854,0.35-0.5-1.5
