Date,Harris_avg,Trump_avg,Parameters
2024-07-02,,,0.35-0.5-1.5
2024-07-03,,,0.35-0.5-1.5
2024-07-04,,,0.35-0.5-1.5
2024-07-05,,,0.35-0.5-1.5
2024-07-06,,,0.35-0.5-1.5
2024-07-07,,,0.35-0.5-1.5
2024-07-08,,,0.35-0.5-1.5
2024-07-09,,,0.35-0.5-1.5
2024-07-10,,,0.35-0.5-1.5
2024-07-11,,,0.35-0.5-1.5
2024-07-12,,,0.35-0.5-1.5
2024-07-13,,,0.35-0.5-1.5
2024-07-14,,,0.35-0.5-1.5
2024-07-15,,,0.35-0.5-1.5
2024-07-16,,,0.35-0.5-1.5
2024-07-17,,,0.35-0.5-1.5
2024-07-18,,,0.35-0.5-1.5
2024-07-19,,,0.35-0.5-1.5
2024-07-20,,,0.35-0.5-1.5
2024-07-21,,,0.35-0.5-1.5
2024-07-22,,,0.35-0.5-1.5
2024-07-23,,,0.35-0.5-1.5
2024-07-24,,,0.35-0.5-1.5
2024-07-25,,,0.35-0.5-1.5
2024-07-26,,,0.35-0.5-1.5
2024-07-27,,,0.35-0.5-1.5
2024-07-28,,,0.35-0.5-1.5
2024-07-29,,,0.35-0.5-1.5
2024-07-30,,,0.35-0.5-1.5
2024-07-31,,,0.35-0.5-1.5
2024-08-01,,,0.35-0.5-1.5
2024-08-02,,,0.35-0.5-1.5
2024-08-03,,,0.35-0.5-1.5
2024-08-04,,,0.35-0.5-1.5
2024-08-05,30.69270339451714,58.959460990145594,0.35-0.5-1.5
2024-08-06,32.141948163514755,58.33845580468025,0.35-0.5-1.5
2024-08-07,33.22929467188369,58.066030399964944,0.35-0.5-1.5
2024-08-08,34.135908355494095,57.81646062067715,0.35-0.5-1.5
2024-08-09,34.55747665221365,57.406724345081095,0.35-0.5-1.5
2024-08-10,34.8273473561972,57.682153315668266,0.35-0.5-1.5
2024-08-11,35.035841967706055,57.229615895603985,0.35-0.5-1.5
2024-08-12,35.00073482488501,57.27811562150046,0.35-0.5-1.5
2024-08-13,35.32706354693807,57.97834959204184,0.35-0.5-1.5
2024-08-14,35.30594479753839,57.40285158285888,0.35-0.5-1.5
2024-08-15,35.686347092588505,57.67164111642184,0.35-0.5-1.5
2024-08-16,35.494808800715475,57.24000810546898,0.35-0.5-1.5
2024-08-17,35.35763345941482,56.94617266529194,0.35-0.5-1.5
2024-08-18,35.13349343395535,56.73789047755318,0.35-0.5-1.5
2024-08-19,35.34252129758174,57.595007030360115,0.35-0.5-1.5
2024-08-20,35.565683465067856,58.510269058598894,0.35-0.5-1.5
2024-08-21,35.1256694424872,56.95910272576361,0.35-0.5-1.5
2024-08-22,35.443904406875326,56.88385819795824,0.35-0.5-1.5
2024-08-23,35.49794358083443,56.60170508180533,0.35-0.5-1.5
2024-08-24,35.07206843266038,56.25272359548319,0.35-0.5-1.5
2024-08-25,35.33338374066395,56.264332102933054,0.35-0.5-1.5
2024-08-26,35.299058003768636,57.01717851422096,0.35-0.5-1.5
2024-08-27,35.73273265139891,58.042256098211894,0.35-0.5-1.5
2024-08-28,35.530318246279776,58.06949820606603,0.35-0.5-1.5
2024-08-29,35.5179759458892,58.84768638930412,0.35-0.5-1.5
2024-08-30,34.2156685749029,56.826376849125694,0.35-0.5-1.5
2024-08-31,35.00571102767165,57.06522443535969,0.35-0.5-1.5
2024-09-01,35.37791346825373,58.089414481275774,0.35-0.5-1.5
2024-09-02,35.560607688761614,58.26460270914104,0.35-0.5-1.5
2024-09-03,35.98707941531655,58.90241428459407,0.35-0.5-1.5
2024-09-04,35.68940511956729,59.74354146745211,0.35-0.5-1.5
2024-09-05,35.645816122198596,59.16052086411491,0.35-0.5-1.5
2024-09-06,35.81499179998385,59.2949938778441,0.35-0.5-1.5
2024-09-07,35.263913942796755,57.78160167210873,0.35-0.5-1.5
2024-09-08,35.43307065357898,58.179550965594004,0.35-0.5-1.5
2024-09-09,35.88093700075771,58.378525719919736,0.35-0.5-1.5
2024-09-10,35.96484670601729,58.37683761078454,0.35-0.5-1.5
2024-09-11,35.51556499101685,57.588033501359,0.35-0.5-1.5
2024-09-12,36.07223561193389,57.94700686037698,0.35-0.5-1.5
2024-09-13,35.451299749317094,57.216173925837424,0.35-0.5-1.5
2024-09-14,36.059715138529306,57.7810485443552,0.35-0.5-1.5
2024-09-15,36.30981069061937,58.597005621704795,0.35-0.5-1.5
2024-09-16,36.19112896270009,57.95054123398459,0.35-0.5-1.5
2024-09-17,36.487574139727315,58.761063494203135,0.35-0.5-1.5
2024-09-18,36.20438930391887,58.847875396622925,0.35-0.5-1.5
2024-09-19,36.287705286231734,59.16182686492036,0.35-0.5-1.5
2024-09-20,36.1009352095803,58.7779846925028,0.35-0.5-1.5
2024-09-21,35.942612391820866,57.583266704848214,0.35-0.5-1.5
2024-09-22,36.49899598092651,57.443671776961224,0.35-0.5-1.5
2024-09-23,36.77718777557,57.37387431314871,0.35-0.5-1.5
2024-09-24,36.57198156574903,57.4342489414622,0.35-0.5-1.5
2024-09-25,36.29335987797276,57.3691628955796,0.35-0.5-1.5
2024-09-26,36.31108168907611,57.33661987268548,0.35-0.5-1.5
2024-09-27,36.8884667197687,56.3935259203722,0.35-0.5-1.5
2024-09-28,36.95375873285868,57.74871538009017,0.35-0.5-1.5
2024-09-29,36.71054397273011,58.37848794079911,0.35-0.5-1.5
