Date,Harris_avg,Trump_avg,Parameters
2024-07-02,,,0.35-0.5-1.5
2024-07-03,,,0.35-0.5-1.5
2024-07-04,,,0.35-0.5-1.5
2024-07-05,,,0.35-0.5-1.5
2024-07-06,,,0.35-0.5-1.5
2024-07-07,,,0.35-0.5-1.5
2024-07-08,,,0.35-0.5-1.5
2024-07-09,,,0.35-0.5-1.5
2024-07-10,,,0.35-0.5-1.5
2024-07-11,,,0.35-0.5-1.5
2024-07-12,,,0.35-0.5-1.5
2024-07-13,,,0.35-0.5-1.5
2024-07-14,,,0.35-0.5-1.5
2024-07-15,,,0.35-0.5-1.5
2024-07-16,,,0.35-0.5-1.5
2024-07-17,,,0.35-0.5-1.5
2024-07-18,,,0.35-0.5-1.5
2024-07-19,,,0.35-0.5-1.5
2024-07-20,,,0.35-0.5-1.5
2024-07-21,,,0.35-0.5-1.5
2024-07-22,,,0.35-0.5-1.5
2024-07-23,,,0.35-0.5-1.5
2024-07-24,,,0.35-0.5-1.5
2024-07-25,,,0.35-0.5-1.5
2024-07-26,,,0.35-0.5-1.5
2024-07-27,,,0.35-0.5-1.5
2024-07-28,,,0.35-0.5-1.5
2024-07-29,,,0.35-0.5-1.5
2024-07-30,,,0.35-0.5-1.5
2024-07-31,,,0.35-0.5-1.5
2024-08-01,,,0.35-0.5-1.5
2024-08-02,,,0.35-0.5-1.5
2024-08-03,,,0.35-0.5-1.5
2024-08-04,,,0.35-0.5-1.5
2024-08-05,,,0.35-0.5-1.5
2024-08-06,,,0.35-0.5-1.5
2024-08-07,,,0.35-0.5-1.5
2024-08-08,,,0.35-0.5-1.5
2024-08-09,,,0.35-0.5-1.5
2024-08-10,,,0.35-0.5-1.5
2024-08-11,,,0.35-0.5-1.5
2024-08-12,,,0.35-0.5-1.5
2024-08-13,,,0.35-0.5-1.5
2024-08-14,,,0.35-0.5-1.5
2024-08-15,,,0.35-0.5-1.5
2024-08-16,,,0.35-0.5-1.5
2024-08-17,67.74119490837039,29.63146992368599,0.35-0.5-1.5
2024-08-18,66.46495125543612,29.86307405309396,0.35-0.5-1.5
2024-08-19,65.77779282122692,30.415426448402464,0.35-0.5-1.5
2024-08-20,65.45538467609248,31.02531285824011,0.35-0.5-1.5
2024-08-21,64.35891984688463,30.476254258701278,0.35-0.5-1.5
2024-08-22,64.58637163978209,30.517246410141553,0.35-0.5-1.5
2024-08-23,64.5019159691343,30.42276786984293,0.35-0.5-1.5
2024-08-24,63.64653100965105,30.270273113129466,0.35-0.5-1.5
2024-08-25,64.02600349431614,30.292807414770106,0.35-0.5-1.5
2024-08-26,63.91537962355618,30.703232311438743,0.35-0.5-1.5
2024-08-27,64.65956489062734,31.259416021214452,0.35-0.5-1.5
2024-08-28,64.27748984926107,31.281725199711648,0.35-0.5-1.5
2024-08-29,64.24253549066144,31.70446727438196,0.35-0.5-1.5
2024-08-30,61.88578136731013,30.621836934554214,0.35-0.5-1.5
2024-08-31,63.30422628583504,30.751851533380208,0.35-0.5-1.5
2024-09-01,63.97238934400578,31.304275063953693,0.35-0.5-1.5
2024-09-02,64.3001013646069,31.399525516225367,0.35-0.5-1.5
2024-09-03,65.06937047165685,31.743717983348983,0.35-0.5-1.5
2024-09-04,64.53049965637052,32.19735179176962,0.35-0.5-1.5
2024-09-05,64.4511130284965,31.883542528197356,0.35-0.5-1.5
2024-09-06,64.7565652976688,31.95620742821821,0.35-0.5-1.5
2024-09-07,63.76002450034599,31.140778439361785,0.35-0.5-1.5
2024-09-08,64.06566985039152,31.35530161764039,0.35-0.5-1.5
2024-09-09,64.8752991728401,31.462578860655004,0.35-0.5-1.5
2024-09-10,65.02694591858888,31.461699727607495,0.35-0.5-1.5
2024-09-11,64.21458650126864,31.03660596884154,0.35-0.5-1.5
2024-09-12,65.22104363526635,31.230080781306548,0.35-0.5-1.5
2024-09-13,64.0983410756767,30.83621399030665,0.35-0.5-1.5
2024-09-14,65.19837883047863,31.140651735686916,0.35-0.5-1.5
2024-09-15,65.65056002986624,31.580407565826278,0.35-0.5-1.5
2024-09-16,65.43597186395796,31.232003481278806,0.35-0.5-1.5
2024-09-17,65.97196102876791,31.66882921078251,0.35-0.5-1.5
2024-09-18,65.4599428191891,31.715616853541935,0.35-0.5-1.5
2024-09-19,65.61058240272934,31.884819248865256,0.35-0.5-1.5
2024-09-20,65.272889072901,31.677950949980204,0.35-0.5-1.5
2024-09-21,64.98663045003,31.03406711716134,0.35-0.5-1.5
2024-09-22,65.99260843090403,30.95883363664678,0.35-0.5-1.5
2024-09-23,66.49559743757504,30.921216912831675,0.35-0.5-1.5
2024-09-24,66.1245709023031,30.953755419204995,0.35-0.5-1.5
2024-09-25,65.62080433594936,30.918677824557772,0.35-0.5-1.5
2024-09-26,65.65284649098928,30.901139032277698,0.35-0.5-1.5
2024-09-27,65.51815303381292,30.81363332918997,0.35-0.5-1.5
2024-09-28,66.12740264936677,31.527691375894634,0.35-0.5-1.5
2024-09-29,65.90614563188473,31.757306553927492,0.35-0.5-1.5
2024-09-30,65.82566385990147,31.86834496530951,0.35-0.5-1.5
2024-10-01,65.53136704708479,31.84387132156588,0.35-0.5-1.5
2024-10-02,65.38120999923484,31.61207322767466,0.35-0.5-1.5
2024-10-03,64.8374944643965,31.587362236956174,0.35-0.5-1.5
2024-10-04,65.91804041828128,31.235481248294324,0.35-0.5-1.5
