Date,Harris_avg,Trump_avg,Parameters
2024-07-02,,,0.35-0.5-1.5
2024-07-03,,,0.35-0.5-1.5
2024-07-04,,,0.35-0.5-1.5
2024-07-05,,,0.35-0.5-1.5
2024-07-06,,,0.35-0.5-1.5
2024-07-07,,,0.35-0.5-1.5
2024-07-08,47.43067613265417,46.1612351962263,0.35-0.5-1.5
2024-07-09,47.608941165253995,45.62530662916399,0.35-0.5-1.5
2024-07-10,47.99779511569004,45.22911313313989,0.35-0.5-1.5
2024-07-11,47.4831164850948,44.605776678829685,0.35-0.5-1.5
2024-07-12,46.49243309662849,43.57178328996871,0.35-0.5-1.5
2024-07-13,45.38664409148077,43.43635720049313,0.35-0.5-1.5
2024-07-14,46.43363672747549,45.650473405575,0.35-0.5-1.5
2024-07-15,45.780584819048414,44.3308101509478,0.35-0.5-1.5
2024-07-16,46.17749391293748,44.71208182706731,0.35-0.5-1.5
2024-07-17,47.29917758624021,46.52025011380809,0.35-0.5-1.5
2024-07-18,47.859874193805155,47.36826334847105,0.35-0.5-1.5
2024-07-19,48.07482756095904,47.64982384096775,0.35-0.5-1.5
2024-07-20,48.09066980689026,47.617008529889674,0.35-0.5-1.5
2024-07-21,47.35745247343472,46.71757454179108,0.35-0.5-1.5
2024-07-22,46.9125740417861,44.39355578863559,0.35-0.5-1.5
2024-07-23,48.155955645982935,44.65216780268955,0.35-0.5-1.5
2024-07-24,48.73696696488099,44.286269340391954,0.35-0.5-1.5
2024-07-25,49.16811290391277,43.79935367440561,0.35-0.5-1.5
2024-07-26,49.431604435119944,43.96136711776831,0.35-0.5-1.5
2024-07-27,49.73860835768498,44.619791355878036,0.35-0.5-1.5
2024-07-28,50.40299091620976,44.127227432255715,0.35-0.5-1.5
2024-07-29,50.008133448529094,43.718621955079634,0.35-0.5-1.5
2024-07-30,49.809348282770806,43.03892146567391,0.35-0.5-1.5
2024-07-31,50.07996861709106,43.58408745054608,0.35-0.5-1.5
2024-08-01,49.88754043630763,43.3883917720738,0.35-0.5-1.5
2024-08-02,50.308457266842616,44.01630851458708,0.35-0.5-1.5
2024-08-03,50.58089775496343,43.16548135669347,0.35-0.5-1.5
2024-08-04,50.69762007338341,42.96956047782922,0.35-0.5-1.5
2024-08-05,50.883292013867816,42.66406378387847,0.35-0.5-1.5
2024-08-06,51.29378356278557,42.50940841930506,0.35-0.5-1.5
2024-08-07,51.21327098945692,42.705083010919815,0.35-0.5-1.5
2024-08-08,51.42271843725624,42.74461409503974,0.35-0.5-1.5
2024-08-09,51.24649021876031,42.55212520749112,0.35-0.5-1.5
2024-08-10,51.15215184216822,42.88047357093174,0.35-0.5-1.5
2024-08-11,51.15682542770887,42.57600358198759,0.35-0.5-1.5
2024-08-12,50.91090095570161,42.651115037943846,0.35-0.5-1.5
2024-08-13,51.277195014000675,43.20748174682586,0.35-0.5-1.5
2024-08-14,50.080039533978955,43.108710956633715,0.35-0.5-1.5
2024-08-15,50.91210787141065,43.185360207685214,0.35-0.5-1.5
2024-08-16,50.92764248210976,42.85022025594991,0.35-0.5-1.5
2024-08-17,50.89599707298366,42.6001626007797,0.35-0.5-1.5
2024-08-18,50.67515454225974,42.412669599356974,0.35-0.5-1.5
2024-08-19,51.01858623937679,43.00324857671075,0.35-0.5-1.5
2024-08-20,51.3682668499321,43.65723420722875,0.35-0.5-1.5
2024-08-21,50.1446744371357,43.290643895640756,0.35-0.5-1.5
2024-08-22,50.81587498194959,42.97364729779545,0.35-0.5-1.5
2024-08-23,51.09009320048443,42.589618726279475,0.35-0.5-1.5
2024-08-24,50.63941519822522,42.20878576345708,0.35-0.5-1.5
2024-08-25,51.04911314439772,42.120181396942385,0.35-0.5-1.5
2024-08-26,51.03094030228972,42.60258049162862,0.35-0.5-1.5
2024-08-27,51.65868164136458,43.31845637192583,0.35-0.5-1.5
2024-08-28,51.378922787254574,43.32278713611383,0.35-0.5-1.5
2024-08-29,51.36336853189821,43.88840188668115,0.35-0.5-1.5
2024-08-30,49.4903801070262,42.385102636737756,0.35-0.5-1.5
2024-08-31,50.62383423762903,42.556994423074464,0.35-0.5-1.5
2024-09-01,51.15836480987359,43.31559064519148,0.35-0.5-1.5
2024-09-02,52.24547031393187,43.81204060280763,0.35-0.5-1.5
2024-09-03,52.55507669851423,43.772174219560256,0.35-0.5-1.5
2024-09-04,51.74045473156509,44.18400608207457,0.35-0.5-1.5
2024-09-05,51.43815800342486,43.98035965231684,0.35-0.5-1.5
2024-09-06,51.08876840526301,44.0559650328762,0.35-0.5-1.5
2024-09-07,50.62044264833284,43.305111664935374,0.35-0.5-1.5
2024-09-08,50.944787883507345,43.49744028565679,0.35-0.5-1.5
2024-09-09,51.63875533182961,43.597259440633806,0.35-0.5-1.5
2024-09-10,51.84976174287908,43.575279678615004,0.35-0.5-1.5
2024-09-11,51.291063420682114,42.99688873482533,0.35-0.5-1.5
2024-09-12,52.101852640219775,43.237565582634595,0.35-0.5-1.5
2024-09-13,51.0476394513534,43.135474100223796,0.35-0.5-1.5
2024-09-14,51.88510674801236,43.335936161425636,0.35-0.5-1.5
2024-09-15,52.31844792544141,43.801010200423434,0.35-0.5-1.5
2024-09-16,52.23857859788551,43.32775493999313,0.35-0.5-1.5
2024-09-17,52.68738489529506,43.86883401923196,0.35-0.5-1.5
2024-09-18,52.321056893421044,43.917114898178916,0.35-0.5-1.5
