Date,Harris_avg,Trump_avg,Parameters
2024-07-02,,,0.35-0.5-1.5
2024-07-03,,,0.35-0.5-1.5
2024-07-04,,,0.35-0.5-1.5
2024-07-05,,,0.35-0.5-1.5
2024-07-06,,,0.35-0.5-1.5
2024-07-07,,,0.35-0.5-1.5
2024-07-08,,,0.35-0.5-1.5
2024-07-09,,,0.35-0.5-1.5
2024-07-10,,,0.35-0.5-1.5
2024-07-11,,,0.35-0.5-1.5
2024-07-12,,,0.35-0.5-1.5
2024-07-13,,,0.35-0.5-1.5
2024-07-14,,,0.35-0.5-1.5
2024-07-15,,,0.35-0.5-1.5
2024-07-16,,,0.35-0.5-1.5
2024-07-17,,,0.35-0.5-1.5
2024-07-18,,,0.35-0.5-1.5
2024-07-19,,,0.35-0.5-1.5
2024-07-20,,,0.35-0.5-1.5
2024-07-21,,,0.35-0.5-1.5
2024-07-22,,,0.35-0.5-1.5
2024-07-23,,,0.35-0.5-1.5
2024-07-24,,,0.35-0.5-1.5
2024-07-25,,,0.35-0.5-1.5
2024-07-26,,,0.35-0.5-1.5
2024-07-27,,,0.35-0.5-1.5
2024-07-28,,,0.35-0.5-1.5
2024-07-29,,,0.35-0.5-1.5
2024-07-30,,,0.35-0.5-1.5
2024-07-31,,,0.35-0.5-1.5
2024-08-01,,,0.35-0.5-1.5
2024-08-02,,,0.35-0.5-1.5
2024-08-03,,,0.35-0.5-1.5
2024-08-04,,,0.35-0.5-1.5
2024-08-05,,,0.35-0.5-1.5
2024-08-06,,,0.35-0.5-1.5
2024-08-07,,,0.35-0.5-1.5
2024-08-08,,,0.35-0.5-1.5
2024-08-09,,,0.35-0.5-1.5
2024-08-10,,,0.35-0.5-1.5
2024-08-11,,,0.35-0.5-1.5
2024-08-12,,,0.35-0.5-1.5
2024-08-13,,,0.35-0.5-1.5
2024-08-14,,,0.35-0.5-1.5
2024-08-15,,,0.35-0.5-1.5
2024-08-16,,,0.35-0.5-1.5
2024-08-17,,,0.35-0.5-1.5
2024-08-18,,,0.35-0.5-1.5
2024-08-19,,,0.35-0.5-1.5
2024-08-20,,,0.35-0.5-1.5
2024-08-21,,,0.35-0.5-1.5
2024-08-22,,,0.35-0.5-1.5
2024-08-23,,,0.35-0.5-1.5
2024-08-24,31.44715138763989,61.926290650728916,0.35-0.5-1.5
2024-08-25,30.375911248063087,62.362457829311566,0.35-0.5-1.5
2024-08-26,29.38955539373292,63.31596086764202,0.35-0.5-1.5
2024-08-27,28.958322188675425,64.59216757071606,0.35-0.5-1.5
2024-08-28,28.377152678071027,64.93572401503964,0.35-0.5-1.5
2024-08-29,28.071457752135785,65.94769221971197,0.35-0.5-1.5
2024-08-30,26.924890304562357,63.95167455400504,0.35-0.5-1.5
2024-08-31,27.371904241634702,64.27159107441337,0.35-0.5-1.5
2024-09-01,27.568432910027095,65.44290468452233,0.35-0.5-1.5
2024-09-02,27.654970845539367,65.67421320791696,0.35-0.5-1.5
2024-09-03,27.94870014559772,66.41170276642362,0.35-0.5-1.5
2024-09-04,27.698771184391816,67.37335509061981,0.35-0.5-1.5
2024-09-05,27.65119320333746,66.7322563609812,0.35-0.5-1.5
2024-09-06,27.772856707328543,66.89180553229441,0.35-0.5-1.5
2024-09-07,27.340720804871797,65.19253544466729,0.35-0.5-1.5
2024-09-08,27.467649623161034,65.64360274737669,0.35-0.5-1.5
2024-09-09,27.811929130392436,65.86977940798138,0.35-0.5-1.5
2024-09-10,27.8753516900317,65.86911554491543,0.35-0.5-1.5
2024-09-11,27.526255451853924,64.98012155590585,0.35-0.5-1.5
2024-09-12,27.95688822231063,65.38552803983742,0.35-0.5-1.5
2024-09-13,27.47530816463368,64.56128221090384,0.35-0.5-1.5
2024-09-14,27.94648886411749,65.1987849992744,0.35-0.5-1.5
2024-09-15,28.140121474438697,66.11957038457516,0.35-0.5-1.5
2024-09-16,28.048034947882012,65.39023533083432,0.35-0.5-1.5
2024-09-17,28.277697923528713,66.30484824987717,0.35-0.5-1.5
2024-09-18,28.058188948794854,66.40284683075028,0.35-0.5-1.5
2024-09-19,28.122726195577652,66.75712925609503,0.35-0.5-1.5
2024-09-20,27.97796173412768,66.32403083621858,0.35-0.5-1.5
2024-09-21,27.855249971548556,64.97594907789022,0.35-0.5-1.5
2024-09-22,28.286432557562044,64.81843874377186,0.35-0.5-1.5
2024-09-23,28.502023125077656,64.739684217561,0.35-0.5-1.5
2024-09-24,28.342986844383294,64.80781211618343,0.35-0.5-1.5
2024-09-25,28.12705527331859,64.73437171120766,0.35-0.5-1.5
2024-09-26,28.14078800529722,64.6976517072678,0.35-0.5-1.5
2024-09-27,28.083053385751185,64.51444183306985,0.35-0.5-1.5
2024-09-28,28.344195414987517,66.0094638216239,0.35-0.5-1.5
2024-09-29,28.24935761695552,66.49020894035668,0.35-0.5-1.5
2024-09-30,28.214860449695685,66.72269006281539,0.35-0.5-1.5
2024-10-01,28.08871581740649,66.67144980896443,0.35-0.5-1.5
2024-10-02,28.024353877943845,66.18613472190656,0.35-0.5-1.5
2024-10-03,27.79130097224716,66.13439743318331,0.35-0.5-1.5
2024-10-04,28.254455420446728,65.39766495724085,0.35-0.5-1.5
2024-10-05,27.87552622452101,65.93474100905573,0.35-0.5-1.5
2024-10-06,28.021407242205356,66.72742193361364,0.35-0.5-1.5
